SqFt_Living,SqM_Living,Total_Rooms,Bathrooms,Luxury_Score,Price_USD
2755,255.947765,8,1,62.51310522809943,434012
2385,221.573655,7,1,56.359295876103324,412610
4743,440.638929,13,3,63.19557293586485,774319
3873,359.813319,11,3,53.734912789393945,641400
1821,169.176363,5,3,63.87382148506216,317703
4261,395.859683,12,3,45.534378589283364,678662
3413,317.077939,9,1,22.625875105447403,554616
4643,431.348629,13,3,12.904475424655887,733990
2300,213.6769,6,1,7.765752617693779,366247
961,89.279783,3,3,27.068262591566807,186937
2781,258.363243,8,3,5.56623286923765,453352
1795,166.760885,5,3,57.14990721201917,312679
4142,384.80422599999997,11,1,29.099016255328507,643733
4598,427.167994,13,1,82.62894600061618,747956
2075,192.773725,6,2,8.349846425850258,376260
1816,168.711848,6,3,23.40879793980711,321496
1137,105.630711,4,2,73.29436856192444,228545
1678,155.891234,6,2,60.28202134196565,311802
1876,174.286028,5,1,7.384635853667586,323375
4793,445.284079,12,1,87.84670625905784,758815
1179,109.532637,3,2,87.84891451979178,260217
1292,120.030676,5,3,33.71039238370161,234182
2862,265.888386,8,1,34.700178491606906,480961
4684,435.157652,13,3,98.91380747666722,775335
864,80.268192,4,3,62.99144098772068,157821
3368,312.897304,9,2,53.60033553623785,550537
2827,262.636781,9,2,83.97706617164052,481694
3495,324.695985,9,2,29.243743497374325,572096
2295,213.212385,6,2,43.489076746239334,397469
1191,110.647473,3,1,27.509890873345082,230516
4361,405.149983,11,1,79.12692381228442,704862
3078,285.955434,8,2,57.761585217886584,518571
3899,362.228797,11,1,66.22368194386698,632420
1000,92.903,4,2,25.97841773410125,179935
3904,362.693312,11,3,22.802304836354196,635646
3254,302.306362,9,3,49.34908826931093,554206
4445,412.95383499999997,12,3,74.01900916018985,743185
1604,149.016412,5,2,52.99873599449586,299259
3531,328.040493,10,3,4.231922077021192,595511
3573,331.942419,9,1,86.9865991257086,594630
2370,220.18010999999998,7,3,7.4040024579980255,414938
3490,324.23147,10,3,95.62662388835447,601686
4640,431.06992,12,3,3.4890538694499997,738347
1828,169.826684,5,1,69.75059515694016,334040
1302,120.959706,5,2,9.138499307466384,223018
1670,155.14801,5,1,91.15698136407882,308978
1006,93.460418,4,2,46.978890386328736,208951
2284,212.190452,6,2,14.614853706884523,401289
1663,154.497689,5,3,34.74075427919482,313709
3590,333.52177,10,2,17.317642859329442,597925
1363,126.626789,4,1,17.88760924415191,241536
4991,463.678873,14,1,94.86272369697278,797441
2557,237.55297099999999,7,2,45.079365116194026,428442
2478,230.21363399999998,8,3,79.0914241266306,436512
4042,375.51392599999997,12,3,64.3209505565905,637032
1859,172.70667699999998,5,1,67.96620987150084,347419
2522,234.301366,8,3,14.037650408731814,426765
4114,382.202942,11,2,24.18426023473308,655711
3957,367.617171,10,2,78.88828318028925,611381
3425,318.192775,9,1,97.10585444100352,567618
3529,327.854687,10,2,27.00488861726652,571773
2397,222.688491,7,1,27.885307710352947,386671
3860,358.60558,10,2,47.81681614827958,618467
3493,324.510179,9,1,98.40019097268835,578230
4427,411.281581,13,3,27.626935636820637,705751
2163,200.949189,6,2,41.29021905379212,381286
2781,258.363243,7,2,89.25652154672717,463769
2463,228.820089,8,1,1.2891822295148387,407026
2329,216.371087,6,1,4.936830533868385,403038
2838,263.658714,9,2,60.8030960300507,477311
4102,381.088106,11,1,90.83063630657185,673805
3037,282.146411,9,2,24.646809379790838,504869
2106,195.653718,6,3,47.49453569339019,370518
4829,448.628587,13,1,45.59606486412401,767464
3475,322.837925,10,2,47.82416326345551,562244
2082,193.424046,6,3,62.629449877244774,372091
1509,140.190627,5,3,47.50463253607769,276601
4548,422.522844,12,2,45.29934599092333,754451
1463,135.917089,5,1,47.95455362269479,276208
2798,259.942594,8,2,59.49587668583311,449807
4245,394.373235,12,3,54.16374134678448,671625
4543,422.058329,13,2,85.55946376739992,736604
2295,213.212385,6,1,5.900188495872995,374500
4104,381.273912,11,3,83.49839007582824,674551
4563,423.916389,13,2,84.54853664856068,751127
2653,246.471659,8,1,29.205894131565124,443527
2091,194.260173,7,3,46.822343546569215,372598
4381,407.008043,11,1,44.41531036520611,722725
4257,395.488071,11,3,22.632473601058898,667243
2436,226.311708,7,2,40.282887861545326,415015
4496,417.691888,12,1,5.394389444914589,701793
3799,352.938497,11,3,28.50438520539171,642082
3952,367.152656,11,1,81.85153536962109,611030
1498,139.168694,5,1,29.171667874526857,233052
2960,274.99288,8,2,82.0024602060765,504970
4897,454.945991,13,1,53.628346995838655,797170
1654,153.661562,5,3,88.10640505875483,322320
4274,397.067422,12,3,57.9031758721771,685665
2507,232.907821,8,3,3.937154083409242,444433
3577,332.314031,9,3,67.86660054716184,576651
2533,235.323299,8,2,5.440503234333297,440650
4310,400.41193,11,1,45.60910487933026,674133
1002,93.088806,3,2,93.01324275283828,203625
4055,376.721665,12,1,17.355189994447166,656310
1566,145.486098,4,1,39.597362941212864,255826
3127,290.507681,9,1,73.25617057599936,540736
3731,346.621093,10,2,88.34359705338991,611949
997,92.624291,4,1,67.42335746950828,200093
2730,253.62519,8,2,26.559152164925752,472244
4382,407.100946,12,3,67.7861774387054,703960
1408,130.807424,4,3,30.37603646930491,278187
4072,378.301016,11,1,72.12449375205479,684832
1947,180.882141,6,2,95.44927963091901,341306
4197,389.913891,12,3,72.41795165952254,709574
3311,307.601833,9,2,86.42516978832883,527526
2594,240.990382,7,2,1.208280474412458,435185
1459,135.545477,4,1,72.03964034842784,249828
3611,335.472733,11,3,83.12916812965979,617414
2169,201.506607,6,1,5.015315016923461,374259
2786,258.827758,7,1,87.28817500153482,501518
946,87.886238,4,3,26.41272860269454,213501
4019,373.377157,11,3,66.86391809582747,658736
3711,344.763033,10,2,80.23513302331726,596470
2534,235.416202,7,3,66.60378679287619,446906
2643,245.542629,8,2,10.136194415252467,437566
1288,119.659064,5,2,60.035830367176466,268474
3776,350.801728,11,2,55.408782015492214,584986
2759,256.319377,8,3,90.13180553935288,509697
3185,295.896055,9,1,41.01973323477671,528933
3719,345.506257,11,2,32.78702861161796,592212
2602,241.733606,8,1,75.23522567921016,451356
4861,451.601483,13,1,41.85485728225627,791982
4169,387.312607,11,3,64.96352132550123,685057
1062,98.662986,4,1,64.99855892233609,180825
1423,132.200969,4,1,88.91586737165166,261825
1816,168.711848,5,3,60.27054782959064,345045
4443,412.768029,13,2,50.713207386236704,724042
2849,264.680647,8,1,14.748261313255183,462952
4523,420.200269,12,3,12.458023061191831,745566
3908,363.064924,10,1,16.27783496302486,635545
4890,454.29567,13,1,18.01299965138236,784347
2856,265.330968,8,2,64.14983217369976,475070
3970,368.82491,11,1,74.35714377718327,637760
2482,230.585246,8,3,53.46916076971545,402494
3055,283.818665,9,1,83.07275552200362,505973
1954,181.532462,5,2,99.13505944662968,366957
3991,370.775873,11,2,82.18125028281625,652024
2496,231.885888,7,3,69.79335499391996,440041
4791,445.098273,12,2,53.716777244277516,786061
2448,227.426544,7,1,45.436454095796115,416879
2245,208.567235,6,2,9.354845673909692,385678
4999,464.422097,14,3,40.537506091074405,782590
4723,438.780869,13,2,91.1033290414313,761832
1053,97.826859,3,2,80.99424036074873,240048
3983,370.032649,11,2,22.389085136157032,643484
3357,311.875371,9,3,47.19417068502437,586439
898,83.426894,4,2,81.85559705329591,180224
3000,278.709,9,2,7.671070923766729,495043
3761,349.408183,10,1,39.35186598119727,601280
4577,425.217031,13,3,85.33228245052082,757496
3669,340.861107,10,2,40.98588855284225,611972
4034,374.77070199999997,12,3,8.683849828412646,660873
4591,426.517673,12,2,54.710902484692895,755219
1756,163.137668,5,2,86.31250699691124,320464
4867,452.158901,14,2,59.43826875236281,779079
960,89.18688,4,1,23.40163171320895,157307
2100,195.09629999999999,6,1,39.039722393600755,367384
4787,444.726661,13,1,45.56221275701129,764745
2327,216.185281,7,3,58.34736902823216,404700
2018,187.478254,6,3,76.17575154950869,360072
3904,362.693312,10,1,10.788488146422905,622204
3535,328.412105,10,3,89.07555126873906,589521
1754,162.951862,5,2,2.2186605985914833,295623
4246,394.466138,11,2,37.63518113275127,688020
1845,171.406035,5,2,3.7146106872931077,324755
2493,231.607179,8,1,39.904448309183834,405372
4236,393.537108,12,3,53.05544728845905,685000
1362,126.533886,4,1,51.656457271569664,246561
3285,305.186355,10,3,17.397206355798268,541301
4154,385.919062,11,2,64.92831049946562,674162
1025,95.225575,4,1,5.433066599962154,199732
1759,163.416377,5,3,76.42877519310912,299350
3867,359.255901,10,3,94.71779896536108,621868
1615,150.038345,6,2,34.63711388796067,292080
3920,364.17976,10,1,52.206698789718864,624401
816,75.808848,4,1,38.512117527822625,178366
2043,189.800829,7,1,1.6643286401019355,359329
3005,279.173515,8,2,39.20157578661648,502096
3324,308.809572,9,1,79.3803056668733,533396
1869,173.635707,6,2,60.0028953761647,348169
4244,394.280332,11,2,11.024731546900734,681788
3365,312.61859499999997,9,2,84.86680947968472,539419
1860,172.79958,5,3,53.57744914363904,313737
3127,290.507681,8,1,84.33061281272293,543670
4220,392.05066,11,1,58.44193035971791,699955
1101,102.286203,4,2,56.40915603895605,178674
1406,130.621618,5,2,11.420659334504226,232817
3970,368.82491,10,1,17.56861358072417,651126
1499,139.261597,4,2,97.23050039316252,284018
1939,180.138917,5,1,23.620187928722306,341101
990,91.97397,4,3,97.76775968104643,212124
3100,287.9993,8,2,53.65935794590207,525549
1780,165.36734,6,1,14.443115659329775,304976
3775,350.708825,11,2,10.830918072615601,601852
1984,184.319552,6,1,21.67754299986826,352816
4127,383.410681,11,1,92.63809567250824,675608
4194,389.635182,12,2,42.00087220849445,687286
927,86.121081,3,3,40.14799253129852,194441
2865,266.167095,9,1,32.007419845947226,463856
2616,243.034248,7,1,15.55912320609225,454637
1369,127.184207,5,1,49.297268522048235,255533
2695,250.373585,7,3,13.87473046860273,446699
3533,328.226299,10,3,83.71254340185044,610867
4663,433.206689,12,2,37.669301641255345,727171
4814,447.235042,13,3,38.10555321039784,808265
3701,343.834003,10,2,47.926636419832434,602048
2486,230.956858,7,2,44.96864360340941,402873
3809,353.867527,11,3,99.49093933287283,664837
954,88.629462,4,2,54.99273100061195,187151
3337,310.017311,9,3,9.731968675197198,551145
2209,205.222727,7,2,61.08085681611607,394331
4857,451.229871,13,3,16.006844994118115,794513
1584,147.158352,4,3,4.062826828402855,287909
3975,369.289425,11,2,97.10347321404757,645960
3606,335.008218,10,1,77.58035026192182,594700
1337,124.211311,4,2,98.03079024896293,253866
2641,245.356823,8,3,48.309966354202004,454547
3255,302.399265,9,1,53.693495583748636,558410
1324,123.003572,4,2,17.665358635993893,253471
3750,348.38625,10,2,25.443835240090973,610688
4931,458.104693,13,2,84.01637227538,807530
4915,456.618245,14,1,36.26237906464182,791653
3168,294.316704,9,3,82.85468240584548,520602
4647,431.720241,13,2,71.19235870441615,751914
3501,325.253403,9,2,18.539921601914685,607295
1771,164.531213,5,2,51.23719024585447,334089
1966,182.647298,6,2,68.06134483035297,340960
3574,332.035322,9,2,24.268684265578685,571905
2782,258.456146,7,3,83.23816254148761,469399
1653,153.568659,5,3,54.9379380969735,316932
4946,459.498238,13,2,17.358962993817716,809486
4536,421.408008,13,1,58.71545819029564,735875
4569,424.473807,13,3,99.9716666114355,752701
1374,127.64872199999999,5,1,15.901627674677941,237617
4061,377.279083,11,3,81.85893608183328,675462
1948,180.975044,6,2,21.52359131556824,324202
2515,233.651045,8,3,78.45644461654864,408904
4654,432.370562,12,2,73.72321438901992,777397
3291,305.743773,9,3,30.748449174442804,529712
3460,321.44438,10,2,33.25648863888053,560778
3924,364.551372,11,2,79.459617804329,654337
3851,357.769453,11,2,46.68310567684395,648503
804,74.694012,4,2,73.35098484246907,179127
1676,155.705428,5,1,15.650430589217642,271624
1791,166.389273,6,2,85.4032204082538,321210
4942,459.126626,14,1,71.37758695154959,780398
1435,133.315805,4,1,90.78733807464856,267834
2493,231.607179,8,2,14.104865524462273,435250
2482,230.585246,7,1,59.70843553569917,381180
919,85.377857,3,3,60.31293791899219,188741
1630,151.43189,5,2,35.99261331413146,284437
4475,415.740925,13,1,46.38817603235652,696676
2169,201.506607,7,2,4.760174765695494,375084
1540,143.07062,4,2,74.84014382407419,264743
916,85.099148,4,2,55.38292546091423,168978
3638,337.981114,11,1,6.716364135048204,594809
1950,181.16085,5,3,68.39483340308807,373687
2731,253.718093,7,3,47.2114256458876,462950
1812,168.340236,6,1,4.411664683075,289421
2464,228.912992,7,2,96.99116495796144,418414
1881,174.750543,6,1,94.9621021658546,351262
1312,121.888736,5,1,51.777339198572555,243902
3649,339.003047,11,1,10.27356964988511,582889
1359,126.255177,5,2,75.7075009382606,263687
4472,415.462216,12,1,49.70117891046718,715175
4143,384.897129,11,2,30.942300350648612,690824
4870,452.43761,13,1,49.65039957532712,764192
2270,210.88981,6,3,52.721970395140985,383085
1380,128.20614,5,1,56.70845820321158,232589
3094,287.441882,9,1,44.681147651877325,499936
3947,366.688141,10,3,60.96977501076661,632864
2479,230.306537,8,2,91.95473635003135,433512
4306,400.040318,12,2,36.86454062276052,693587
3544,329.248232,10,1,72.84592985877497,564983
4156,386.104868,11,3,89.55080312559899,695147
4845,450.115035,13,2,46.14194830023376,798730
2043,189.800829,6,1,44.902127801808504,355798
3918,363.993954,11,3,60.609581550123174,606669
2941,273.227723,8,2,59.54926918282632,522866
3859,358.512677,10,2,80.85234489030142,646224
3759,349.222377,10,3,48.171854994050975,647830
3065,284.747695,8,3,99.61617201430467,541034
3279,304.628937,9,3,6.887685317860797,557585
2435,226.218805,7,3,1.3136170094894721,413591
2557,237.55297099999999,8,1,64.37963284440275,427491
2870,266.63161,9,3,30.545056323825793,487211
3649,339.003047,10,2,24.797856481248896,581677
4051,376.350053,11,2,31.878008920423767,660533
4530,420.85059,13,1,26.348708945390477,680367
3289,305.557967,10,2,4.048214916384337,534803
2431,225.847193,7,2,97.18177119666828,444256
3616,335.937248,10,3,22.85380335682539,593385
1815,168.618945,5,2,73.66894649634132,352896
2148,199.555644,6,1,76.49704307472335,368543
3887,361.113961,11,3,92.9964824027157,661689
3639,338.074017,10,3,4.0243962522446175,578480
1135,105.444905,3,1,87.33278550625376,237145
1695,157.470585,5,3,53.19539190314022,313378
4346,403.756438,11,3,63.621866886616964,706328
1651,153.382853,6,1,64.80255743498233,257002
2487,231.049761,8,3,82.15998269348803,430666
2731,253.718093,8,1,34.00732489375194,454653
4546,422.337038,12,1,73.57206779613935,744045
3227,299.797981,9,2,53.32923286249751,558130
2368,219.994304,7,2,79.54600741622943,441634
4800,445.9344,13,3,99.0640572442432,803506
3538,328.690814,9,3,20.86445072297236,571441
4298,399.297094,12,1,99.47021551443979,695021
4713,437.851839,13,3,9.891403273994626,765012
1866,173.356998,6,1,1.2294372425765727,322940
3244,301.377332,10,1,5.372031681605295,547099
4907,455.875021,13,3,34.83645806893941,825208
4173,387.684219,11,1,63.65772673716498,707689
4769,443.05440699999997,13,2,7.833924547897113,779325
3346,310.853438,9,3,1.5609156384271596,555130
1553,144.278359,5,2,93.77201181742068,311944
2882,267.746446,9,3,82.37073695805303,518695
3574,332.035322,9,1,81.10913394276407,585112
3696,343.369488,11,3,88.55800327469574,609121
4985,463.12145499999997,13,2,70.30339300443833,790299
1575,146.322225,4,1,11.336008845060062,260371
2425,225.289775,7,3,40.51091861929858,396122
3869,359.441707,10,3,72.59179915999832,643616
1217,113.062951,5,3,28.75311161836057,218304
914,84.913342,3,2,69.05323004948752,179157
1416,131.550648,5,2,3.425346378497583,263603
4774,443.518922,13,3,31.307596747079728,770085
4067,377.836501,12,1,55.363903291440096,662567
1625,150.967375,6,1,63.57689312111798,311942
2316,215.16334799999998,6,2,58.127025781729174,411993
3946,366.595238,10,1,70.07787133126952,663698
1212,112.59843599999999,5,2,1.602786075744068,223320
1528,141.955784,5,3,10.993178797774627,300575
4148,385.361644,11,2,87.02548097563536,685001
3608,335.194024,11,2,68.49311576492596,597429
1475,137.031925,4,3,12.180232625915119,290608
4265,396.231295,12,1,84.36536930245934,678540
3304,306.951512,9,2,24.980890564632123,570950
3767,349.965601,11,2,48.34772853532712,610488
3586,333.150158,10,3,15.374454775581368,567703
1922,178.559566,5,1,71.30089558574896,347362
4879,453.273737,14,2,67.01858768041252,779593
2371,220.273013,7,3,21.900134645447483,435417
2943,273.413529,8,2,86.47667591884318,492251
2487,231.049761,8,3,40.729296397751504,430912
4932,458.197596,13,1,29.958994016003437,759407
4651,432.091853,12,1,16.080629356989007,748059
4240,393.90872,12,1,27.35063323903821,664809
4566,424.195098,13,1,3.1806652011578826,730936
3126,290.414778,9,2,58.74249175315544,514223
3714,345.041742,11,2,84.38084388805085,583272
4752,441.475056,13,1,55.34906449472254,760837
1395,129.599685,5,1,22.708122230463697,250088
1528,141.955784,5,1,4.333248643173399,278282
2165,201.134995,6,2,22.248179252621483,392539
1498,139.168694,5,1,42.196021379038136,296825
1195,111.019085,3,1,76.20153144127985,242452
4971,461.820813,14,1,19.596442401239635,788748
3302,306.765706,10,3,72.25935388211393,533341
2619,243.312957,7,1,86.82641336683649,448245
1517,140.933851,5,3,45.94073796272735,284962
3582,332.778546,10,3,82.32176717261673,595784
4377,406.636431,11,1,55.91107745547446,712226
943,87.607529,4,3,64.0719928710096,216092
3940,366.03782,11,1,53.101567573482065,624344
3738,347.271414,11,2,46.854098958382835,597561
4436,412.117708,12,2,24.230690735809084,708156
4022,373.655866,12,2,31.01621188664356,640274
1967,182.74020099999998,6,2,29.707041775417295,316372
3416,317.356648,10,3,56.76560416442766,553804
1862,172.985386,6,1,12.875415609365103,298390
2956,274.621268,8,1,91.76237737953117,514879
3782,351.359146,10,1,72.34485938302821,642311
4094,380.344882,12,2,40.74311746040617,645817
1956,181.718268,6,2,16.70379030811142,344931
1532,142.327396,4,1,88.31722480244196,295566
1753,162.858959,5,2,82.55403092001535,297076
3339,310.203117,10,1,72.45043371900076,552754
4124,383.131972,11,1,27.883157693712995,697179
4101,380.995203,12,1,40.84221710593322,668475
2342,217.578826,6,1,11.172076992789913,384854
1991,184.969873,5,1,19.71491294802564,329190
3793,352.381079,10,1,78.51864709435655,589316
3481,323.395343,9,1,71.7888331662177,578564
2017,187.38535099999999,7,2,59.75509053461754,383718
2340,217.39302,6,1,89.67694586669111,391732
4036,374.956508,11,1,58.7433852634915,623114
3186,295.988958,9,2,47.22983199639746,517382
4519,419.828657,12,2,34.696703884270505,738013
2188,203.271764,6,2,94.10440206788108,380593
2656,246.750368,8,1,9.188830690910995,422930
2165,201.134995,6,3,93.15784983402003,388668
1299,120.680997,5,3,82.84475133317082,259864
2480,230.39944,8,2,13.863062529034428,393946
1310,121.70293,5,3,56.9334514098501,249627
2124,197.325972,7,2,86.7882501931596,368498
1955,181.625365,5,1,57.609107197108216,330158
2627,244.056181,8,3,90.8127823345016,441957
3941,366.130723,10,1,94.3553978647882,659139
4286,398.182258,11,3,42.816067696246286,686797
2610,242.47683,7,1,38.354052479226034,404246
3723,345.877869,10,3,93.69579424294652,626153
3014,280.009642,8,1,67.83886605381714,511545
4986,463.214358,13,1,12.48624545346876,773457
1513,140.562239,4,3,5.186883173045438,264592
4402,408.959006,12,1,56.89827604872905,696943
4934,458.383402,13,1,93.08692557840403,788517
4322,401.526766,11,1,84.58062153817602,716818
2043,189.800829,7,3,67.9089268999693,363320
4509,418.899627,13,3,14.772469040217665,736898
1881,174.750543,6,1,26.168906991120863,307851
1255,116.593265,4,1,87.675611428709,235029
1694,157.377682,6,3,19.097916429033145,317229
2184,202.900152,7,3,28.565501416793023,366229
2758,256.226474,8,1,13.830464468348753,466648
3872,359.720416,10,1,67.9347149100267,619961
2796,259.756788,7,1,94.45424823095775,468465
1304,121.145512,4,2,27.62783512794321,266178
2014,187.106642,6,3,48.0652541771573,350175
2331,216.556893,7,2,63.79963423140922,404590
4240,393.90872,12,3,99.94715857334744,710235
1623,150.781569,6,3,11.375998434759639,294122
1728,160.536384,6,3,50.358509151065206,318097
933,86.678499,3,3,39.12689187034751,191927
2905,269.883215,8,3,86.71619635701316,478559
4427,411.281581,12,3,48.12080537015393,723898
2652,246.378756,8,3,11.986774933929661,434210
4975,462.192425,13,2,63.80799038337178,810648
3733,346.806899,10,1,77.3072812081241,630992
4084,379.415852,12,1,1.2852439148958448,620773
3611,335.472733,11,2,86.03671185664233,619464
2050,190.45115,6,2,19.416277000560896,345217
4312,400.597736,11,2,55.654867100684406,695966
2056,191.008568,6,2,42.16395256805757,343146
4176,387.962928,11,3,72.24572784444251,688676
4286,398.182258,11,1,37.74499986378844,686451
4384,407.286752,11,3,87.10655449148936,736175
2196,204.014988,7,1,73.31913973492023,367942
4437,412.210611,13,1,65.12360393522923,738486
4130,383.68939,12,2,79.82781896072258,685436
3503,325.439209,9,3,75.64828045790985,586944
1270,117.98681,5,2,4.557928817233781,228699
2153,200.020159,6,3,40.07870103063799,371367
3583,332.871449,9,1,93.1499224343325,587459
3631,337.33079299999997,11,2,13.446702630230396,589865
1157,107.488771,3,2,73.97255849277308,225209
3819,354.796557,10,1,97.48458932219764,617738
1467,136.288701,5,1,6.167664275452192,258900
1945,180.696335,6,1,68.53719418203444,327913
4985,463.12145499999997,14,2,47.34725998880201,802056
4519,419.828657,12,3,58.338350282097494,731171
3545,329.341135,10,2,9.44879231194816,584090
1339,124.397117,5,3,5.257688234827008,261737
3579,332.499837,9,2,67.01979939454125,605084
4936,458.569208,14,2,82.50763355225106,801673
4575,425.031225,13,1,78.41951815836376,743456
3308,307.323124,10,3,54.8367670587575,547326
3579,332.499837,9,2,10.88681529248164,589191
1724,160.164772,5,2,69.11639993976537,324280
3756,348.943668,10,1,24.946999471860448,579879
2381,221.202043,6,1,91.19580157397098,416064
4124,383.131972,12,3,83.98827059502479,700919
1055,98.012665,3,2,71.2289137416517,207151
2638,245.078114,7,3,94.93574962728191,451068
2744,254.92583199999999,8,2,4.11076032961602,446124
809,75.158527,4,3,73.88384208101544,158553
3671,341.046913,11,1,33.69403515430413,594278
1597,148.366091,4,2,90.70052268295017,298139
1815,168.618945,5,3,27.40084446953578,325685
2624,243.777472,7,1,72.76079343218669,449391
3936,365.666208,11,1,87.88705494542737,631007
2993,278.058679,9,3,5.12402501988556,499072
1023,95.03976899999999,3,2,40.367110379611574,208171
4958,460.613074,14,2,76.46859417017193,791667
4725,438.966675,13,1,46.03697006125112,759259
4800,445.9344,14,2,27.458010349565935,766702
2433,226.032999,7,2,22.760729533495812,400034
2952,274.249656,9,2,14.020308424721414,489845
1310,121.70293,5,1,85.85582642577194,244310
1184,109.997152,3,3,57.960184921904045,244648
1204,111.855212,4,2,8.562109554154143,218724
2800,260.1284,9,1,38.875452033492905,443428
3556,330.363068,10,1,37.40563142970588,579885
2468,229.284604,7,3,18.992179880236836,422439
2260,209.96078,6,2,44.115254921746875,371605
4436,412.117708,13,2,33.87783717392051,723433
3524,327.390172,10,3,34.83856684372607,591041
4978,462.471134,14,3,74.16362922100791,793483
2848,264.587744,9,1,23.103075165014435,456926
4946,459.498238,13,1,64.54413592668018,787678
1516,140.840948,5,3,57.49431276421255,272516
2623,243.684569,8,2,57.24115872144886,454504
2881,267.653543,8,1,66.63772726803582,482712
4219,391.957757,12,1,55.28982158336974,662504
2374,220.551722,6,2,88.04625636979208,401372
1049,97.455247,4,1,67.88242910307572,223742
1473,136.846119,5,2,55.149361885767426,295013
2965,275.457395,8,2,83.14654890847684,509460
1570,145.85771,4,2,61.0085099284145,284532
4762,442.404086,13,3,29.82328053073272,758665
2784,258.641952,8,3,21.50239689948055,475145
1877,174.378931,6,3,16.0804507806052,330904
1035,96.154605,3,2,90.04606604206406,189108
1188,110.368764,4,2,71.30340774800851,247938
3837,356.468811,10,3,93.80046537826776,659497
2648,246.007144,7,1,60.72588876577936,455403
3614,335.751442,11,2,47.86668726799634,575299
4174,387.777122,11,1,6.9119324081180435,652929
4078,378.858434,12,1,67.49258587305695,632332
2052,190.636956,7,2,58.63866721705489,383468
4781,444.169243,13,2,99.03068046517453,771605
2922,271.462566,9,1,24.67671900044206,513234
2950,274.06385,9,1,53.54299817339675,517537
2129,197.790487,6,3,65.44477617668919,363887
2158,200.484674,6,3,64.81452629949202,371038
3282,304.907646,10,2,56.56806075189187,550606
2817,261.707751,9,3,77.91587302239532,456815
2131,197.976293,6,3,21.293139743154825,362334
2158,200.484674,6,3,72.83709282716717,375195
3977,369.475231,10,3,62.35372257187583,681788
2928,272.019984,8,1,89.71143606766276,494557
2980,276.85094,9,2,84.8722494643246,499702
937,87.050111,4,3,32.19955687412278,182517
4272,396.881616,11,1,28.347495172540153,694880
3632,337.423696,11,1,98.18367906139234,591986
4379,406.822237,11,1,53.1992529106104,701735
3831,355.911393,11,3,90.73567542752924,628210
4964,461.170492,13,3,17.224221354267737,770281
3393,315.219879,10,2,64.63907256521725,546937
4618,429.026054,12,3,81.17615854869803,746405
4938,458.755014,13,3,94.79212970905823,800709
4623,429.490569,13,1,34.39667396068533,732037
4842,449.836326,13,2,72.7731358224812,779520
2706,251.395518,8,3,54.342487894922286,454438
1560,144.92867999999999,5,3,7.002263680580351,300637
4245,394.373235,11,1,69.30997399358539,699831
1699,157.842197,6,1,69.3195592655465,301687
3747,348.107541,11,3,93.13007367980717,629489
2519,234.022657,8,2,50.233932170728266,422315
1080,100.33524,4,2,23.794841150340954,164106
4066,377.743598,12,1,5.411818521419236,646289
2687,249.630361,7,1,42.14857648190466,451063
4066,377.743598,12,3,30.88975330767268,636888
