Square_Feet,Bedrooms,House_Age,Has_Pool,Neighborhood_Score,Price_USD
1179,5,27,0,2,245482
1292,3,42,1,1,240738
2862,2,4,0,2,474167
4684,4,4,1,4,828263
864,1,29,1,2,183196
3368,4,31,0,1,546613
2827,5,7,0,7,547716
3495,1,9,1,8,607840
2295,5,37,0,6,415814
1191,2,46,1,4,228841
4361,1,31,0,6,670926
3078,5,47,0,3,509443
3899,2,27,0,8,663454
1000,4,16,0,10,256251
3904,2,30,1,2,644088
3254,3,7,0,5,583135
4445,2,39,0,1,679132
1604,2,24,0,6,297333
3531,3,8,0,2,582399
3573,5,1,1,4,669525
2370,5,14,1,6,478677
3490,2,49,0,10,582186
4640,3,2,1,8,837051
1828,3,48,1,8,363468
1302,4,35,0,6,255676
1670,5,3,1,4,349251
1006,1,13,0,8,236424
2284,5,40,0,8,431066
1663,5,40,1,10,356920
3590,4,24,0,1,603024
1363,1,49,1,4,218921
4991,4,9,1,4,878303
2557,1,20,0,7,439545
2478,2,35,1,7,437266
4042,1,11,0,8,673774
1859,4,26,0,5,349177
2522,5,39,0,7,456319
4114,1,1,1,8,731624
3957,1,12,0,9,667705
3425,3,31,0,3,564553
3529,5,30,0,3,598474
2397,2,15,1,4,436836
3860,4,31,0,5,634827
3493,2,31,0,10,605875
4427,5,33,0,1,727314
2163,1,10,0,7,398307
2781,1,9,1,9,540212
2463,5,14,0,8,453230
2329,1,16,0,5,396684
2838,1,39,1,4,456555
4102,1,17,0,7,713744
3037,4,8,1,5,586648
2106,4,24,0,7,400914
4829,3,39,1,1,789324
3475,2,13,0,1,587394
2082,5,24,0,10,440084
1509,5,49,1,3,311375
4548,5,21,1,2,778061
1463,3,29,1,2,282129
2798,4,19,0,7,497467
4245,3,20,1,10,765286
4543,5,43,1,2,752465
2295,2,31,0,4,380772
4104,1,45,1,2,639540
4563,4,48,1,6,783602
2653,4,20,0,8,508240
2091,3,34,0,10,420305
4381,4,31,0,4,727885
4257,5,29,0,5,719604
2436,5,38,0,4,429418
4496,3,48,0,3,686495
3799,5,11,0,5,652728
3952,2,40,0,9,657410
1498,3,46,0,8,265479
2960,2,17,1,8,551771
4897,1,20,1,8,842282
1654,2,12,0,8,323718
4274,1,20,1,7,757257
2507,1,7,0,8,442789
3577,2,45,0,8,597402
2533,3,39,0,8,449521
4310,5,45,0,10,750411
1002,5,6,1,7,276357
4055,1,22,1,1,696455
1566,1,43,0,4,250618
3127,3,31,0,4,531999
3731,4,10,0,5,674317
997,2,21,0,10,225280
2730,1,21,0,6,476685
4382,5,42,0,4,705327
1408,3,24,1,2,308354
4072,2,21,1,6,689197
1947,3,27,0,8,370227
4197,2,28,1,8,725541
3311,2,12,0,7,589014
2594,1,17,0,6,478227
1459,3,1,0,2,290870
3611,3,28,0,7,630131
2169,5,20,1,5,470903
2786,5,14,0,6,523586
946,1,26,0,10,202448
4019,1,49,0,8,608099
3711,4,30,0,8,668899
2534,5,14,1,3,489633
2643,2,22,0,7,450029
1288,3,23,0,1,220225
3776,1,43,0,1,554751
2759,3,12,0,7,518245
3185,3,21,0,10,588418
3719,4,42,0,9,642231
2602,5,36,0,7,474085
4861,1,32,1,10,797067
4169,3,2,1,5,732000
1062,1,18,1,8,236100
1423,2,22,0,2,265642
1816,4,28,0,9,347850
4443,2,29,0,6,710936
2849,1,38,1,9,498997
4523,1,43,0,2,661802
3908,5,46,0,3,636701
4890,3,24,0,8,813092
2856,3,36,0,1,477963
3970,2,46,0,10,638002
2482,4,7,0,7,459412
3055,3,41,1,7,533439
1954,5,15,0,1,353628
3991,2,7,0,9,695837
2496,2,0,0,8,446500
4791,5,43,0,4,767969
2448,4,4,0,10,478474
2245,5,2,1,5,482866
4999,4,0,0,2,827691
4723,5,3,1,9,838808
1053,5,39,0,6,228122
3983,1,34,0,3,626448
3357,2,31,1,7,582281
898,5,41,0,9,211330
3000,5,33,0,3,505326
3761,3,42,0,2,595444
4577,2,24,0,7,739408
3669,3,9,1,7,664622
4034,2,20,0,4,672356
4591,3,45,1,9,755130
1756,5,38,1,8,372144
4867,5,26,0,1,767015
960,1,26,1,1,196218
2100,3,1,0,5,394117
4787,4,40,1,6,820343
2327,1,47,0,3,335495
2018,3,12,0,9,409931
3904,3,8,0,10,714316
3535,1,35,0,6,552789
1754,5,21,0,4,334971
4246,3,41,1,7,703537
1845,5,25,0,8,369462
2493,1,11,0,9,463511
4236,5,16,1,6,752687
1362,2,13,0,6,261885
3285,4,13,1,8,591868
4154,3,33,1,5,727529
1025,4,19,1,3,276157
1759,5,10,1,3,390253
3867,3,15,0,6,649894
1615,5,30,0,2,317465
3920,2,5,1,6,711230
816,1,18,0,6,176986
2043,3,36,0,8,373870
3005,2,3,0,7,560626
3324,2,46,1,8,543793
1869,3,3,0,9,406726
4244,5,19,0,6,729162
3365,2,9,0,3,552261
1860,4,23,0,10,365945
3127,2,34,0,3,490279
4220,5,25,0,1,679848
1101,5,36,0,5,263520
1406,4,37,1,4,298868
3970,2,20,0,9,692467
1499,5,39,1,9,346485
1939,3,38,1,5,366168
990,1,20,0,10,225621
3100,1,9,0,4,518237
1780,1,37,0,7,302863
3775,2,45,1,6,606128
1984,4,3,0,4,410227
4127,5,44,0,10,679051
4194,3,19,0,2,670420
927,3,16,0,1,225030
2865,2,6,0,4,504592
2616,1,3,0,4,461465
1369,2,28,1,1,271310
2695,4,13,0,6,475544
3533,4,2,0,4,606643
4663,5,23,0,1,760176
4814,5,36,1,1,785349
3701,4,15,0,1,621025
2486,4,3,1,8,521583
3809,4,23,0,10,694587
954,2,33,0,8,215666
3337,4,29,0,2,540835
2209,3,17,0,7,410325
4857,1,18,0,8,787245
1584,4,30,0,8,306351
3975,1,18,1,10,680987
3606,2,48,0,7,603264
1337,1,45,0,5,221709
2641,2,18,0,1,436186
3255,3,21,0,9,585313
1324,2,23,0,7,274006
3750,2,44,0,2,596482
4931,5,11,0,6,835295
4915,4,29,0,2,798490
3168,4,37,0,1,502132
4647,3,30,0,7,763197
3501,3,35,0,2,564001
1771,4,18,0,2,336367
1966,5,47,1,5,380154
3574,4,44,0,5,600327
2782,5,35,0,7,491345
1653,3,29,0,1,290875
4946,1,48,1,8,787916
4536,3,32,1,3,795811
4569,3,17,0,4,741257
1374,2,48,1,9,267990
4061,2,27,0,4,669989
1948,2,46,0,10,340558
2515,2,10,1,5,488495
4654,5,44,1,7,797595
3291,4,32,0,4,549202
3460,1,16,0,1,543508
3924,3,5,0,9,685767
3851,5,3,0,4,678165
804,1,19,1,9,215184
1676,5,47,0,6,302521
1791,5,46,0,1,306811
4942,3,26,0,3,778688
1435,4,14,0,2,299788
2493,2,5,0,9,487160
2482,4,46,0,1,391535
919,3,13,1,9,250847
1630,3,10,1,9,375168
4475,3,38,0,8,754630
2169,1,8,1,8,453049
1540,4,25,1,1,289958
916,4,15,1,8,279494
3638,5,4,0,10,679976
1950,5,9,0,3,386067
2731,5,49,0,7,483420
1812,3,2,0,1,337185
2464,4,12,0,1,456650
1881,3,42,0,10,373109
1312,1,48,0,5,236119
3649,5,29,1,5,624891
1359,3,44,0,8,257605
4472,3,5,0,7,740771
4143,1,16,1,8,705770
4870,2,44,1,6,756737
2270,4,18,1,6,460653
1380,2,41,1,2,256089
3094,5,34,0,6,536810
3947,3,45,1,5,646182
2479,1,25,0,3,411560
4306,1,4,0,6,705928
3544,4,28,0,8,601808
4156,2,36,0,9,667163
4845,4,19,0,1,785892
2043,3,48,0,3,325115
3918,4,20,1,3,677936
2941,1,9,0,8,528177
3859,1,4,0,1,643499
3759,5,35,1,5,683607
3065,5,5,0,3,559652
3279,3,25,0,2,547063
2435,2,3,0,8,464482
2557,4,38,0,3,407837
2870,3,38,0,7,484354
3649,5,49,1,1,603073
4051,4,34,0,6,669187
4530,5,0,0,3,783885
3289,4,23,1,8,607457
2431,2,35,1,6,422855
3616,3,5,0,2,614134
1815,4,40,0,6,324664
2148,1,45,0,7,313911
3887,1,43,0,5,585493
3639,4,30,0,3,606183
1135,4,19,0,4,263828
1695,4,23,1,4,315241
4346,1,24,0,6,690044
1651,1,35,0,10,312121
2487,4,20,0,1,447222
2731,5,29,0,4,478548
4546,5,23,0,10,784058
3227,2,43,0,4,530745
2368,3,41,1,10,462941
4800,5,29,0,1,793079
3538,1,21,0,9,593479
4298,5,27,0,4,739005
4713,2,6,0,7,765573
1866,2,34,0,3,331068
3244,3,27,0,10,573202
4907,5,13,0,3,827384
4173,1,9,0,8,690971
4769,1,15,1,8,785139
3346,4,15,1,1,595515
1553,1,30,1,10,330220
2882,3,41,1,2,498640
3574,3,24,0,8,626221
3696,1,12,1,1,625522
4985,1,5,0,8,817893
1575,4,43,1,8,341162
2425,1,8,1,2,423615
3869,4,44,1,4,669155
1217,4,35,1,6,274290
914,1,42,0,9,180939
1416,2,19,0,8,302588
4774,2,17,0,8,810722
4067,4,42,0,7,686209
1625,1,20,0,9,302443
2316,2,3,0,2,425240
3946,1,49,1,3,610878
1212,1,32,0,10,255218
1528,1,26,1,8,291622
4148,5,6,1,6,758594
3608,1,5,1,10,647886
1475,5,14,1,9,377499
4265,4,17,0,10,766077
3304,2,31,1,4,566384
3767,2,10,1,8,680541
3586,2,19,0,10,635662
1922,2,23,0,3,352516
4879,2,14,1,3,815609
2371,2,47,0,8,391754
2943,2,6,0,5,528959
2487,4,20,0,3,416169
4932,1,41,0,10,804244
4651,3,25,0,1,731997
4240,5,43,1,3,710796
4566,3,13,0,9,798040
3126,3,36,0,5,514467
3714,1,20,0,10,642811
4752,1,17,0,2,769483
1395,1,4,1,7,316100
1528,2,2,0,2,301471
2165,4,22,0,4,396558
1498,2,25,0,7,291433
1195,4,36,0,4,219303
4971,4,23,1,7,853643
3302,3,48,1,7,548376
2619,3,18,0,1,432768
1517,4,24,0,6,278705
3582,4,20,0,9,642258
4377,2,11,0,2,738724
943,2,40,0,3,161608
3940,3,32,0,10,687077
3738,1,49,0,5,593785
4436,4,3,0,9,768812
4022,2,41,1,4,644343
1967,3,6,1,1,402711
3416,2,21,0,4,565814
1862,4,32,1,6,356538
2956,4,16,0,5,519647
3782,5,23,0,1,640994
4094,1,33,1,4,657590
1956,5,27,1,6,364381
1532,3,42,1,10,319569
1753,2,40,0,10,321335
3339,3,38,0,4,545388
4124,4,21,1,9,762283
4101,5,48,0,5,673352
2342,5,16,0,8,465744
1991,5,33,0,9,409883
3793,3,5,0,10,683105
3481,4,45,0,5,605197
2017,2,5,0,6,367594
2340,2,33,1,1,387387
4036,3,0,0,7,719609
3186,5,9,0,4,595914
4519,1,20,0,2,710838
2188,3,4,0,5,403240
2656,3,1,0,3,508614
2165,4,21,0,6,397664
1299,2,47,1,8,268535
2480,3,1,0,7,495512
1310,3,9,1,3,289075
2124,5,33,0,8,399668
1955,5,15,0,2,366944
2627,1,47,0,10,451173
3941,4,38,0,9,686452
4286,1,21,1,4,713205
2610,5,11,0,1,501546
3723,2,23,0,8,631329
3014,5,46,1,7,566284
4986,4,39,1,5,824619
1513,5,37,1,10,382556
4402,4,9,0,5,778051
4934,4,34,1,7,837380
4322,4,48,0,5,717218
2043,4,31,0,8,410009
4509,4,6,0,6,802445
1881,2,20,0,5,305920
1255,1,19,0,9,271240
1694,3,25,0,2,312234
2184,1,3,1,1,411066
2758,4,45,0,8,482975
3872,2,21,0,3,634317
2796,5,14,0,7,546847
1304,2,39,1,10,291892
2014,4,20,0,8,401353
2331,2,14,0,6,439940
4240,2,21,1,10,752070
1623,4,27,1,9,368753
1728,2,13,0,7,366605
933,3,26,0,10,222232
2905,3,40,1,5,485014
4427,2,39,0,8,718335
2652,5,27,0,2,468618
4975,4,25,1,7,867072
3733,3,48,0,4,593959
4084,5,1,0,9,757726
3611,2,24,0,1,615419
2050,5,2,0,7,442122
4312,1,7,0,6,733059
2056,3,43,1,8,389857
4176,2,32,0,5,652221
4286,4,41,0,1,644228
4384,2,34,0,1,674019
2196,4,5,0,9,409694
4437,2,38,1,10,762653
4130,5,22,0,6,707357
3503,5,24,0,10,616949
1270,5,49,0,5,248663
2153,1,42,0,1,316470
3583,4,18,0,6,632611
3631,5,4,1,6,695464
1157,1,10,1,3,241022
3819,4,11,0,8,676090
1467,2,9,0,1,277473
1945,1,7,1,1,342244
4985,3,23,1,6,848372
4519,1,27,0,10,723984
3545,1,40,0,1,547235
1339,4,35,0,6,262322
3579,2,36,1,1,562101
4936,3,20,1,6,832700
4575,5,7,0,3,774784
3308,5,8,0,8,632627
3579,1,46,1,6,589249
1724,4,14,1,1,337455
3756,4,47,1,5,661735
2381,5,45,1,8,467547
4124,3,39,0,3,651755
1055,2,17,0,6,204542
2638,3,41,0,5,435131
2744,2,19,0,6,475492
809,5,5,0,10,260885
3671,2,11,1,1,636558
1597,4,1,0,7,365448
1815,1,6,1,9,360877
2624,1,15,0,2,438727
3936,5,2,1,10,750605
2993,4,44,0,5,541319
1023,3,2,0,10,272020
4958,4,26,0,4,803160
4725,1,49,0,6,731605
4800,1,42,1,6,774471
2433,4,39,1,2,403314
2952,4,37,0,2,494524
1310,1,32,0,4,223441
1184,3,27,0,1,219799
1204,5,0,0,9,302496
2800,5,7,1,7,545191
3556,4,36,1,7,643383
2468,5,31,0,3,454626
2260,1,47,1,3,378871
4436,1,42,0,1,642838
3524,4,36,1,3,612645
4978,4,3,0,3,811160
2848,4,29,1,4,507482
4946,3,5,1,4,863883
1516,5,45,0,3,288263
2623,4,18,1,10,533704
2881,2,31,0,8,514643
4219,2,8,0,8,731650
2374,1,11,0,1,367614
1049,5,10,1,7,289807
1473,4,45,1,2,281325
2965,2,15,1,1,514368
1570,5,0,1,3,356242
4762,1,44,0,4,716047
2784,3,20,1,6,554611
1877,5,29,0,10,380918
1035,5,12,0,5,291124
1188,3,33,0,4,211480
3837,5,3,1,8,736805
2648,1,27,1,4,463244
3614,1,37,0,10,583870
4174,3,30,0,2,663086
4078,4,26,1,3,700273
2052,2,4,0,6,380338
4781,4,24,1,8,829507
2922,5,2,1,8,555426
2950,2,32,0,9,519772
2129,3,3,0,7,439157
2158,3,24,1,2,406715
3282,2,19,1,8,628463
2817,1,33,0,7,478181
2131,2,25,1,8,431792
2158,5,4,0,3,442475
3977,1,34,0,7,599484
2928,3,27,1,10,558155
2980,2,28,1,9,522655
937,4,8,0,3,208236
4272,4,37,1,10,736295
3632,5,49,0,6,601309
4379,4,5,0,2,750606
3831,2,18,0,2,629559
4964,2,43,1,5,802811
3393,4,10,0,5,612790
4618,2,1,0,7,798252
4938,5,46,0,2,792139
4623,1,43,1,7,725982
4842,5,43,0,5,778610
2706,5,8,1,6,541694
1560,2,20,0,8,321001
4245,1,23,0,10,689221
1699,2,33,0,4,295079
3747,3,21,1,7,643365
2519,2,2,1,6,505838
1080,2,11,0,10,262435
4066,2,27,0,2,627307
2687,1,29,0,8,437959
4066,2,25,0,10,695711
1466,1,47,0,9,279121
4988,4,20,0,5,812748
1471,3,27,0,10,320049
2769,1,25,0,4,447216
4956,4,32,0,6,827347
3922,1,20,1,8,689547
4700,1,34,0,3,731529
1323,3,33,0,10,251334
3193,5,40,1,1,561167
3917,5,46,0,4,649880
3393,1,17,0,4,564706
2768,2,10,0,1,471135
2553,4,22,0,9,468368
3096,2,47,0,3,499244
3061,2,21,0,5,532422
3086,1,16,1,6,532568
3678,1,4,0,8,656614
4943,1,43,0,6,771825
4444,1,10,0,3,721537
2855,5,29,0,6,510804
2076,1,14,0,1,348430
3566,5,26,1,4,659263
1102,5,34,0,6,259996
1438,1,32,0,7,277477
855,3,19,0,10,228218
1325,4,15,0,3,289087
4923,2,33,1,9,816335
2925,5,1,0,7,571301
4087,4,34,0,1,654947
1164,3,39,0,2,176902
2446,2,27,1,1,400708
1718,2,46,0,9,297555
3597,5,38,0,9,635177
2331,1,5,1,7,443718
4145,3,8,1,10,748283
2706,5,19,0,3,499548
3886,3,0,0,5,669574
2875,1,7,0,4,512812
1513,1,22,0,7,303026
1862,5,2,0,9,412228
2776,1,3,0,2,484101
2096,4,24,0,8,414858
925,2,46,0,9,184865
4396,5,37,0,10,767924
4083,3,14,1,10,755783
2403,4,20,0,9,447163
866,5,34,0,10,231403
1032,1,45,0,7,187937
2956,1,13,1,9,560544
1969,1,35,0,9,341692
2958,1,11,0,3,486533
2293,3,16,0,4,417284
4807,4,38,0,2,783170
3272,2,8,0,10,573209
3460,3,34,0,3,547827
3539,3,12,0,5,603642
2561,2,14,1,5,472211
4314,2,17,0,6,690216
2775,1,32,0,7,485322
3162,3,5,1,7,596345
1676,5,26,0,1,310998
4612,2,22,0,2,759739
4248,2,26,0,9,721766
2112,4,33,0,10,399168
2260,5,45,1,2,412469
3509,5,37,1,6,626323
3124,2,13,0,1,539725
2533,1,35,0,3,400438
2405,4,7,1,2,445719
3363,5,34,1,3,565491
4221,2,18,1,5,743677
4317,5,29,0,10,740920
3197,4,13,0,6,584003
4535,4,19,1,9,808526
3670,3,48,0,10,606650
1960,2,24,0,4,341302
1042,4,39,0,7,248250
3390,3,23,0,6,559179
1863,3,13,0,2,338053
3395,5,25,0,10,632848
1719,5,37,1,8,349202
805,3,22,0,7,219109
1267,5,21,1,7,328233
4970,4,47,0,8,813176
803,1,18,0,1,146302
1445,4,45,1,1,251576
917,3,2,0,8,255755
3728,3,41,0,4,641229
3351,4,18,0,5,588238
1646,5,8,0,8,339909
3562,5,27,1,5,648762
1941,3,19,1,10,426253
2610,2,44,0,4,404932
1523,5,6,0,6,331567
1024,4,13,0,5,231789
2848,5,8,1,7,559629
2373,4,18,0,10,461767
2628,3,46,0,7,431086
2717,5,13,0,4,483412
2826,4,37,0,5,487115
4544,3,35,0,3,721860
1701,2,39,1,4,306806
2839,4,16,0,4,507897
809,2,29,0,3,138747
1060,2,8,1,10,288348
2473,1,32,1,5,426314
3019,5,24,0,5,542642
2860,4,13,0,7,534394
4513,2,10,0,4,761917
2419,1,34,0,4,393594
1120,3,40,0,9,251000
2142,4,13,0,6,410871
3176,2,29,0,4,517487
3632,5,40,1,2,620436
3624,1,3,0,6,631611
2794,2,3,0,2,494964
3758,5,27,0,5,648326
2838,2,7,1,6,513883
4290,4,1,1,4,776495
4477,4,40,1,3,730628
1918,4,45,1,7,359961
2404,1,21,1,2,403322
4827,4,40,0,6,784802
1035,5,15,0,4,265425
2769,2,28,0,6,457269
2708,3,48,1,4,488778
1175,5,47,1,4,268497
4330,5,29,0,4,702730
3435,4,11,0,9,621308
2370,1,34,0,7,384096
3360,2,10,1,3,601974
4191,1,45,0,3,624827
3765,2,49,0,6,571633
4443,2,20,0,6,727564
4650,1,20,0,4,761040
1672,5,4,1,9,403112
2052,2,47,0,4,337376
2114,1,19,1,9,420858
3698,2,36,0,4,568815
877,3,2,0,2,195659
3421,5,43,0,2,561646
1400,4,32,1,5,293239
1865,2,8,0,4,375716
2936,3,8,0,7,517375
3249,4,3,0,5,575111
3143,4,34,1,6,570008
2663,2,16,0,10,480831
2118,1,33,1,4,329722
4397,2,23,0,2,730970
4562,3,31,0,10,750985
2990,4,0,0,9,581913
1792,2,7,0,10,351599
3512,1,44,0,7,546054
2992,2,22,0,4,478056
2048,5,46,0,3,345882
3854,1,39,1,10,646635
4833,3,11,0,3,794761
2797,4,11,1,9,550761
4487,2,45,0,5,682427
2951,1,46,0,3,444591
4818,5,14,0,5,842605
3910,1,40,0,2,618425
2770,5,18,0,4,510735
997,3,25,0,10,249496
3426,4,28,0,2,601212
2002,3,21,0,2,363668
2835,2,39,1,8,513112
1277,1,20,1,1,224081
2054,5,37,0,7,372010
1722,5,19,0,5,350009
1219,1,28,0,8,227138
3004,1,3,0,1,487030
3397,2,6,0,7,584113
1920,3,27,0,5,329246
3868,5,27,0,4,645929
1750,2,3,0,7,358991
3136,3,21,0,10,592144
3043,2,11,1,2,550204
3445,5,44,1,1,593492
2657,1,2,0,1,426796
2665,1,21,1,1,456339
3712,3,43,1,5,624195
3653,4,1,0,10,681111
4028,3,23,0,7,676189
4519,4,33,0,2,753181
4028,2,26,1,10,708791
3171,2,40,1,8,554903
3691,5,0,0,4,634213
4556,4,7,0,3,768399
894,5,22,0,10,264938
3474,1,37,0,8,575033
2755,4,5,0,2,464916
1593,3,21,1,3,317004
2634,1,24,0,3,457278
2916,1,17,1,10,539740
4906,3,16,1,1,821536
4125,1,11,1,6,734835
3719,4,5,0,2,639530
3397,5,25,0,1,586415
4005,1,26,0,2,635720
1614,4,7,0,6,353077
1145,2,18,0,4,235838
3149,4,41,0,6,524935
1162,5,0,0,9,302583
3243,4,28,0,10,570031
3065,3,44,0,10,502354
2988,5,48,0,8,539267
3805,2,34,1,1,620101
4081,3,39,1,8,718262
1784,4,13,0,9,400480
2439,5,34,0,6,445851
1627,2,47,0,10,277947
3530,3,44,0,5,568757
4331,2,19,0,6,706782
3735,4,48,1,6,607947
4676,2,12,0,9,784474
926,1,37,0,4,163426
3977,3,48,0,2,609300
3856,2,45,0,9,617826
1403,4,48,0,2,223686
4249,4,7,0,10,761888
4946,2,42,0,9,824539
4333,4,19,0,2,736329
4167,5,32,0,8,726454
4168,5,25,0,9,740331
4597,5,38,0,10,781960
2592,1,20,1,9,457732
3661,2,48,0,10,596008
4276,1,41,0,9,672660
4217,4,42,0,2,674470
2445,1,40,0,4,407248
2005,4,8,0,7,435751
3830,4,23,0,2,637869
3672,3,36,1,1,582592
3872,5,48,0,3,629140
2654,4,40,0,4,451447
4821,3,16,0,8,824132
3508,5,23,1,6,643312
4302,4,20,0,2,712297
2132,4,38,0,9,389719
1001,1,40,0,2,157471
4307,1,38,0,5,683148
1374,5,12,0,4,271572
1336,4,10,0,7,298640
2425,2,45,0,8,420068
2922,1,18,0,5,516310
1185,5,10,0,10,299774
4081,4,12,0,5,720530
1274,4,45,1,2,277450
1217,2,44,0,8,223969
4400,5,0,0,2,751626
1754,4,39,0,10,343568
2005,1,43,0,6,327920
4920,2,18,1,8,857762
2790,5,11,0,6,513694
4372,2,7,0,4,750470
4958,1,7,0,4,793288
3513,5,44,0,6,575183
3003,2,11,0,4,525106
3920,3,47,0,8,660058
1766,1,32,0,9,324179
4232,1,44,1,1,668526
1488,1,25,0,4,292514
4501,3,38,1,4,763219
1141,3,27,1,2,244213
2524,4,4,1,6,502332
2592,2,7,0,3,471825
2559,4,24,0,7,482489
4012,2,26,1,5,686878
1789,3,45,0,4,299444
3062,3,22,0,5,526754
3282,4,29,1,8,600287
1751,5,44,1,3,335194
1522,4,46,0,7,279082
4189,2,22,0,6,695927
2879,4,48,0,1,449555
3517,1,46,1,7,585010
3132,2,19,1,7,535501
4176,2,17,0,1,662001
2300,5,17,0,9,476074
1085,3,1,1,6,273043
4295,2,3,0,2,719531
2865,3,29,0,5,477690
1568,4,32,1,4,333436
3857,1,35,0,7,617093
2961,5,17,0,8,548700
4093,3,36,0,1,646565
1746,2,18,0,5,305148
4135,3,46,1,3,689631
4950,2,27,0,1,794651
2281,3,39,1,3,399949
2701,2,19,0,6,480213
4251,4,48,0,7,706733
4864,2,32,0,8,789831
854,2,11,0,4,178276
2623,1,14,0,3,465561
4262,2,40,0,5,670412
3879,1,38,0,9,622112
1632,5,1,0,6,388181
3606,1,28,1,9,636450
3290,4,40,0,6,559361
1127,1,9,1,2,228688
4110,5,1,0,5,742342
4100,4,10,0,9,771447
4475,3,12,0,8,780057
3854,3,9,0,7,679741
2943,1,13,0,1,491666
2111,1,17,1,4,386328
3991,5,8,1,7,733985
3338,5,38,0,7,574843
4783,2,27,0,6,766425
964,5,2,1,8,291913
1622,2,19,0,6,305143
1743,4,5,1,10,406779
1574,1,26,1,3,290809
2998,4,1,1,4,577145
3956,5,28,0,3,665981
4495,4,37,0,1,717360
4252,4,2,0,10,788234
1714,4,15,0,5,345251
2108,5,29,1,1,434563
4977,4,39,0,1,790040
1313,2,1,0,2,259041
2720,5,16,1,4,544043
4394,4,40,1,6,744907
2209,5,11,1,8,437244
3990,3,34,1,3,667639
2355,2,42,0,1,364112
1604,4,0,0,3,359698
2079,3,44,1,3,355586
4377,3,14,0,5,729760
3701,5,25,0,4,654164
2187,3,36,0,4,380766
3561,2,20,0,9,612578
3479,2,48,1,7,572902
2906,1,30,0,4,475176
3568,2,24,0,3,580960
4753,3,22,0,6,775032
3986,2,23,0,3,634562
4080,5,37,0,6,675382
3373,1,27,0,9,553661
3399,3,20,1,6,624860
4833,1,42,0,4,756540
1036,3,17,0,5,244035
2104,5,35,0,6,393667
4230,1,34,0,3,655060
2101,4,44,0,8,378984
3341,3,8,1,4,621866
2851,4,37,0,8,475947
1241,1,29,1,10,268632
2876,4,43,0,10,496489
3980,4,33,0,3,672798
3457,1,31,0,10,574188
4598,5,2,1,7,812760
1604,4,2,0,9,366551
874,4,27,0,4,193148
2975,5,43,0,8,516296
4724,4,14,0,3,776899
2889,4,40,0,7,489857
840,4,22,0,3,205228
2881,2,39,0,7,483706
2422,5,10,0,10,488330
1141,4,47,0,10,228276
4852,5,31,1,6,833066
2874,3,35,1,2,498009
1445,3,32,1,3,292829
1409,4,23,0,6,296163
1254,5,38,0,4,238661
3753,5,33,0,6,607302
2508,5,27,0,1,465794
4272,2,36,0,10,687955
3769,3,6,0,1,603675
3828,5,3,0,3,677557
3481,5,36,0,8,583322
4429,2,0,1,8,777278
3867,2,0,0,4,668282
2186,5,46,0,6,419290
4576,1,19,0,8,759412
3666,5,18,0,7,646712
4163,5,28,0,7,715078
4924,2,9,1,4,805671
948,2,17,1,9,245038
4650,5,27,0,10,798353
2858,5,34,1,6,535199
1936,5,42,1,3,399132
986,2,46,1,5,173648
3654,5,30,1,5,645984
2050,5,26,0,5,363797
2133,4,10,0,8,420399
4993,1,48,0,9,773380
4950,3,48,0,9,777484
3511,1,37,1,6,600946
2585,4,4,0,6,496784
1550,3,7,1,9,376037
