Weight_KG,Horsepower,Cylinders,Aero_Score,Is_Hybrid,MPG
2495,176,6,7.3,0,18.7
2086,368,4,3.1,0,13.1
2162,333,4,5.6,0,15.8
1592,275,6,1.9,0,23.4
1391,165,8,4.5,0,26.8
1418,89,8,5.4,0,30.0
1288,84,4,6.9,0,32.6
1378,202,8,9.6,1,39.6
1230,197,6,6.4,1,40.5
2017,373,6,7.7,1,29.8
1040,238,4,5.6,0,32.6
2051,382,6,6.7,0,17.0
1134,307,4,1.6,0,25.2
1200,295,6,3.3,0,24.1
1779,263,4,4.3,0,23.6
1929,94,8,5.3,1,38.4
2056,236,6,1.4,1,28.7
2071,215,6,2.3,0,20.8
1502,340,4,3.5,0,22.6
1406,236,4,9.7,0,27.1
1804,126,6,4.0,1,37.0
1098,252,4,5.3,1,40.1
1683,209,6,2.8,0,28.5
1725,174,8,6.5,0,26.8
1960,194,4,3.5,1,33.7
1612,322,6,2.9,0,21.6
2485,371,8,5.6,0,14.6
1642,361,8,1.0,1,30.1
2028,378,6,1.1,0,12.7
2241,362,4,3.0,0,14.9
1502,148,6,1.3,0,25.9
1766,227,8,2.0,0,19.4
1397,90,6,4.0,1,39.8
1870,333,4,8.2,0,23.5
1794,117,8,6.1,1,38.9
1392,213,6,5.6,0,26.3
1206,279,4,3.6,0,25.9
2038,102,8,9.4,0,27.9
1891,382,4,4.6,0,16.3
2484,381,8,1.8,0,6.7
1863,297,6,6.6,0,21.4
1742,220,4,2.0,0,24.4
2264,183,8,4.1,0,21.2
1563,289,4,5.6,0,22.4
2020,190,4,8.9,0,26.1
1095,183,6,5.4,0,31.7
1484,395,4,7.3,0,24.5
2430,250,8,9.9,0,19.3
1230,212,8,2.2,0,24.4
1748,372,8,3.5,0,21.6
2194,206,8,4.6,0,19.3
1540,185,6,4.8,1,39.6
2059,171,4,4.7,0,18.9
1524,366,6,9.2,0,24.4
2183,130,4,7.4,0,25.2
2266,108,4,6.5,0,26.2
2109,375,4,3.8,0,17.4
1577,376,6,8.4,0,23.3
1681,293,4,9.6,0,21.1
1556,346,6,8.4,1,35.5
2012,336,8,1.0,0,14.1
1645,381,8,6.7,0,21.0
1795,180,4,1.5,0,19.9
2051,189,6,3.3,0,20.1
2363,261,8,1.5,0,13.3
2354,392,6,6.4,0,11.8
2371,80,6,7.2,0,21.4
2496,398,4,2.0,1,20.8
2254,134,8,4.5,0,21.2
1189,228,4,5.1,1,35.8
2248,388,4,4.3,0,8.3
2408,216,8,2.1,0,14.8
2400,281,8,4.8,0,14.6
2306,392,6,7.8,1,26.4
1632,196,8,1.6,0,22.2
1627,233,6,1.7,0,22.6
1972,370,6,4.2,0,16.5
2282,142,6,9.5,0,21.2
2382,323,8,7.0,0,17.0
1709,104,4,7.1,0,28.7
2479,169,6,4.3,0,18.4
2434,154,4,6.3,0,19.3
1648,373,4,1.1,0,22.1
1317,289,8,6.7,0,27.7
2248,96,4,9.2,0,23.3
2257,207,4,6.5,1,33.1
1683,330,8,8.9,0,19.4
1663,258,6,7.5,0,24.6
2397,261,4,2.1,0,14.9
2495,231,8,9.1,0,17.9
2256,104,4,1.6,0,19.5
2136,259,4,5.8,1,28.7
1441,277,6,2.3,0,21.8
1563,240,4,1.1,0,22.9
2291,256,8,4.8,0,14.6
2409,364,4,3.7,0,15.4
2410,142,6,5.4,0,14.0
2136,229,6,6.2,1,31.2
1951,233,8,1.4,0,19.4
2104,235,6,2.1,0,19.0
1698,128,4,6.0,0,25.4
1112,163,6,4.1,0,33.3
1001,256,8,7.6,0,28.3
1641,227,6,6.9,0,24.1
1219,197,6,8.6,0,32.4
1854,142,6,7.2,0,27.9
2248,268,8,4.9,0,14.1
1384,128,6,7.1,1,48.1
2426,336,6,3.5,0,10.6
2153,303,4,3.8,0,13.6
2076,220,8,8.1,0,22.7
1729,294,6,5.0,0,20.7
2439,290,8,8.2,0,15.0
1246,397,6,8.4,0,26.0
1835,111,6,8.7,0,24.6
2462,237,6,9.2,0,14.5
1202,364,4,4.9,0,23.3
2207,384,4,3.9,0,15.5
1122,365,4,6.2,1,36.8
1400,223,8,4.3,0,29.7
1766,98,8,6.4,0,30.0
1293,97,4,7.4,0,33.4
1279,336,8,7.2,0,26.4
1883,157,6,4.4,0,24.2
1197,254,6,2.5,1,39.0
1981,273,6,4.9,1,30.7
1751,192,4,2.3,0,22.4
1143,193,8,9.0,1,42.1
1608,301,4,4.1,1,29.5
2224,245,8,2.4,1,30.8
2147,398,6,1.2,1,24.5
1186,211,4,6.8,0,30.2
2349,343,8,6.7,0,15.4
1463,134,8,4.1,0,26.7
2372,210,6,1.6,0,13.8
1659,367,4,4.7,1,31.2
1763,345,4,3.8,0,21.7
1954,241,4,7.1,0,19.4
1402,166,6,6.5,1,36.0
2369,134,4,4.3,1,30.4
1146,367,6,3.0,1,38.3
2171,257,6,9.9,0,17.1
1863,87,6,5.1,0,23.9
1488,392,8,7.2,0,22.5
1928,326,4,2.3,0,22.2
1550,334,4,5.4,0,19.4
1337,133,6,1.2,0,25.5
1871,328,6,5.5,0,19.9
1640,318,4,9.7,0,26.3
1472,308,6,4.5,0,22.0
1150,146,4,1.4,0,26.6
2438,130,8,1.3,0,18.2
2321,176,6,4.5,0,20.0
1262,171,4,2.4,0,32.0
1143,343,6,1.2,0,25.2
1345,370,4,7.8,0,26.0
1623,175,4,5.1,0,25.6
2016,167,6,3.6,1,38.5
1880,157,8,9.1,0,25.2
1001,367,4,2.0,0,23.8
1896,199,4,9.6,0,28.5
2327,381,4,3.8,1,21.3
1253,244,8,9.0,0,26.0
1452,261,8,6.4,0,26.1
2060,302,6,8.4,1,31.6
2183,390,8,9.9,0,15.9
2014,86,6,3.6,0,26.1
1008,342,6,9.7,0,27.7
2256,240,8,4.5,0,17.6
2122,230,6,4.5,0,18.4
1815,164,8,4.1,0,22.2
1207,226,6,5.9,1,41.0
2154,191,8,2.4,1,32.6
1403,115,8,6.0,0,34.8
1151,364,6,5.9,0,26.7
1053,267,4,7.9,0,25.4
2143,161,6,8.5,1,34.9
1627,81,8,5.0,1,40.9
1586,382,4,3.7,0,21.4
2443,276,6,3.3,1,26.3
2445,90,6,2.8,0,21.7
1103,313,6,1.5,0,26.1
1253,274,4,4.1,0,29.4
2250,198,8,3.4,0,17.4
2135,99,6,9.7,0,25.8
1509,340,6,6.0,0,24.4
2496,372,6,4.1,0,9.8
1098,335,6,6.2,1,37.5
1152,301,6,2.3,0,24.3
1913,305,8,5.0,0,17.7
1877,132,8,6.6,0,26.6
1337,359,6,5.4,0,19.9
1821,160,4,4.6,0,21.2
2186,281,8,9.9,0,23.4
1956,237,4,8.9,0,21.3
1160,199,8,6.6,0,31.1
1800,138,6,6.1,0,22.9
1397,294,8,6.6,0,25.7
2300,207,6,2.8,0,15.8
1815,303,8,4.6,0,16.9
2415,288,6,1.4,0,15.6
2158,194,6,5.3,1,34.6
2218,288,6,5.9,0,16.9
1400,93,6,3.0,0,31.7
1639,88,4,9.7,0,34.6
2056,119,6,9.2,0,27.0
1687,316,4,7.5,0,23.4
1459,360,4,5.8,1,34.9
1954,280,6,8.8,1,34.8
1469,325,4,2.2,1,32.9
2398,357,8,8.1,0,13.8
2045,314,6,2.1,0,17.1
1749,83,4,8.1,0,28.1
1037,233,6,3.5,0,28.6
1229,108,6,8.9,0,33.9
2388,188,6,9.5,0,22.5
1562,177,4,2.3,1,35.0
1437,294,8,5.2,0,25.9
2306,372,8,9.8,0,17.3
1026,154,4,5.4,0,34.4
1225,225,6,8.8,0,28.8
2300,207,4,6.3,0,15.6
1797,121,4,4.4,0,26.7
1283,120,4,3.6,0,30.7
1878,113,6,2.8,0,26.3
1959,96,4,7.9,1,37.1
1452,244,6,4.5,1,38.9
2019,232,4,5.6,0,22.8
1815,155,8,5.4,0,24.7
1658,166,4,6.2,1,39.4
1546,196,4,8.8,1,40.8
2215,106,8,9.8,0,22.9
2072,392,6,4.7,0,15.9
1016,366,6,8.4,0,31.3
2195,213,4,7.9,1,32.6
2243,298,8,6.2,1,25.8
1157,247,6,9.6,0,29.4
1476,177,4,2.8,1,34.8
2069,347,8,2.0,0,17.5
2396,316,6,8.7,1,29.4
1517,388,6,5.0,0,19.7
1098,252,8,8.6,1,39.9
2060,269,8,9.0,0,19.2
1279,201,8,1.6,0,25.7
2372,125,8,9.0,0,22.2
1496,143,4,5.0,1,40.4
1301,209,8,5.6,1,43.2
1180,389,6,6.6,1,35.5
1606,272,6,9.3,1,34.4
2122,386,4,1.2,0,10.5
1699,260,6,5.3,0,22.8
1992,371,6,7.2,0,16.1
2139,361,8,7.5,0,15.9
1190,108,6,7.2,0,32.6
1252,228,4,2.2,0,28.7
1980,346,8,3.7,0,15.5
1927,375,8,4.2,0,15.8
2184,90,4,8.2,0,26.0
2279,243,8,3.5,0,15.5
2346,192,8,2.9,1,30.1
1127,266,4,9.6,0,31.2
1017,374,8,1.1,1,36.4
1565,311,4,10.0,0,22.7
1569,306,4,7.1,0,26.1
2346,389,6,8.5,0,18.5
1685,177,6,3.7,0,24.7
1625,134,8,1.1,0,23.2
2311,190,8,7.6,0,20.1
1853,231,4,8.5,0,25.8
1961,325,8,7.7,0,18.2
1154,148,4,2.3,0,29.9
1489,391,4,7.8,0,23.0
2409,368,8,7.9,0,16.2
1784,329,4,6.9,0,22.3
2127,115,6,7.9,1,37.9
2416,318,8,8.6,0,14.8
1245,227,6,6.5,0,29.8
2199,306,8,1.8,1,25.3
2062,323,4,5.4,0,19.1
1758,280,8,1.7,0,22.2
1537,233,6,4.7,0,26.1
1920,152,4,4.7,0,22.8
1407,280,8,1.6,0,22.9
1524,375,8,4.1,1,36.2
1827,96,8,2.0,0,24.1
1902,208,6,8.3,0,26.0
1035,296,6,9.5,0,31.2
1684,140,8,1.7,0,24.1
1019,183,4,9.6,0,31.4
1320,121,4,5.7,0,31.4
1511,104,6,3.7,0,28.8
1399,118,4,1.7,0,31.9
1653,370,6,5.5,0,18.4
1971,210,8,8.2,0,27.7
1470,308,6,7.4,1,37.5
2166,187,6,1.5,0,19.2
2115,251,8,1.7,0,16.0
2377,181,4,4.6,0,18.7
1833,91,6,3.7,0,26.7
1726,354,6,3.1,0,20.5
1853,180,8,3.5,0,20.9
1050,123,4,8.2,0,37.7
1574,384,6,9.4,1,35.1
2213,96,8,4.6,0,23.5
2148,136,6,9.2,0,23.6
1149,390,8,3.9,1,33.9
1313,382,4,5.3,1,35.2
1569,91,4,3.0,1,40.5
2365,397,4,6.8,0,10.1
1304,159,4,9.8,0,33.7
1681,295,6,6.4,0,24.5
1837,343,6,4.2,0,17.0
2077,228,4,6.8,0,18.8
2002,160,4,2.1,0,20.6
1443,294,4,9.0,1,38.3
1612,277,6,5.5,0,22.8
1992,279,4,5.0,1,31.1
1263,104,4,6.3,0,32.8
2076,168,4,6.6,0,19.8
2003,347,8,1.6,0,12.9
1004,222,4,7.1,0,26.4
2126,138,8,3.2,0,23.1
2219,105,8,7.4,0,23.4
1773,126,4,8.4,1,41.8
1876,367,8,8.2,0,17.1
1991,345,4,6.0,0,17.8
1883,95,6,5.7,0,26.6
2373,278,6,2.3,0,12.9
1046,361,6,8.0,0,24.6
1866,165,6,3.4,0,26.6
1822,329,8,5.5,0,22.4
1935,349,4,3.6,0,16.2
1655,196,4,2.2,0,24.7
1268,86,4,6.7,0,32.1
1369,216,6,1.5,0,23.6
1635,255,6,7.7,0,28.5
2129,394,4,3.9,0,10.5
1656,294,6,1.0,0,19.5
1119,161,4,5.6,0,31.9
1830,302,4,1.4,1,33.7
2081,182,4,3.5,0,22.3
2369,352,4,7.4,1,23.1
1740,93,4,1.6,1,37.6
2497,238,4,8.6,0,17.2
1116,231,4,1.0,0,27.0
1790,187,6,3.2,0,24.3
2150,267,4,7.7,0,16.5
2416,380,4,3.8,0,10.5
2012,177,6,1.9,0,21.5
2081,210,6,4.2,0,21.4
1633,372,6,3.4,1,31.5
1512,250,4,8.6,0,26.1
1801,262,8,3.8,0,20.8
2119,118,8,8.1,0,25.8
2141,94,6,9.0,0,25.4
1559,83,8,4.9,0,27.3
1487,289,6,9.2,1,35.6
2260,240,4,4.4,0,14.4
1896,95,8,9.7,0,30.9
2295,187,4,1.8,0,19.0
2212,390,8,7.2,1,26.6
1703,306,4,5.4,0,20.6
2470,249,8,4.5,0,13.9
1580,113,4,6.7,0,31.3
1789,330,4,7.3,0,24.7
1860,326,8,1.0,0,15.9
1246,348,4,2.5,0,25.6
2099,220,4,7.4,0,21.2
1153,353,4,7.0,0,26.0
2458,175,8,9.7,1,35.0
1996,306,8,7.8,0,19.8
2109,118,4,9.6,0,25.7
1696,381,4,7.3,0,20.8
2308,108,8,3.7,0,17.3
2243,397,8,1.9,1,24.2
2092,324,4,8.0,0,17.3
2070,315,4,6.8,0,15.4
2008,264,4,1.4,0,16.7
1093,351,6,4.2,0,24.6
1957,315,8,9.6,0,22.8
2011,318,6,5.5,0,16.0
1452,345,8,4.9,0,21.0
2227,144,8,5.1,1,33.4
1911,256,8,2.9,0,17.0
1217,82,8,4.3,0,31.2
1473,221,8,4.3,1,34.5
1431,237,8,1.5,0,26.2
1340,225,8,7.9,0,28.2
1550,372,6,4.7,0,20.7
2312,232,4,8.4,0,21.0
2277,272,4,8.7,0,17.0
1356,152,6,2.9,0,27.7
1022,384,6,6.9,1,36.6
1521,219,6,5.3,0,23.7
2123,266,6,8.9,0,18.4
1801,372,8,2.9,0,16.3
2203,140,4,7.1,0,21.6
2246,277,8,6.5,0,18.0
1761,374,4,3.7,0,16.2
1441,398,4,2.2,1,32.4
1768,381,6,6.9,0,20.3
2015,90,8,7.6,0,25.0
2348,141,6,3.8,0,17.6
1515,305,8,6.8,0,24.3
2039,232,4,4.6,0,19.5
1791,278,6,7.4,0,22.9
1335,131,6,2.8,0,32.3
1257,339,4,9.0,0,26.9
1496,138,4,3.6,0,26.4
1895,151,4,4.3,0,21.9
1159,227,6,1.5,0,25.7
2498,142,8,2.0,1,25.8
1851,389,6,5.6,0,19.5
1689,322,8,3.4,0,15.7
1379,186,6,8.5,0,30.9
1956,305,6,1.1,0,15.1
1690,392,4,4.4,0,17.5
2450,297,8,4.0,0,11.8
2291,320,6,1.2,0,16.0
2440,338,6,2.1,1,23.6
2191,341,4,4.7,0,16.8
2066,84,4,5.4,0,27.1
1284,340,8,4.6,0,24.6
1396,133,6,5.8,1,39.5
1011,126,8,6.4,0,33.8
2325,294,6,1.1,0,12.0
2276,256,8,5.2,0,16.1
1498,88,4,9.7,0,32.0
1753,178,6,5.7,0,24.7
1034,99,8,7.1,1,48.1
1726,320,4,3.8,0,21.2
1848,140,4,8.0,1,38.0
1089,257,8,8.0,0,31.2
1775,141,6,5.7,0,24.8
1604,224,6,9.8,0,29.8
1969,295,4,2.1,0,16.4
2021,82,6,1.2,1,37.3
1417,239,6,7.9,1,36.7
1114,306,6,8.3,1,40.1
1616,348,4,2.1,0,18.8
2219,199,8,3.4,0,19.1
1825,168,6,1.2,0,24.0
2098,147,4,3.6,1,30.9
1412,177,4,8.0,0,27.3
2399,346,8,5.7,0,10.7
2443,184,6,4.1,0,19.8
1728,202,6,4.3,0,24.4
2300,108,8,1.0,1,29.1
2020,216,8,3.7,0,19.3
1760,274,4,6.8,0,25.0
1675,305,4,9.8,0,23.4
2417,249,8,8.6,0,17.0
1456,88,6,1.2,0,26.8
1919,119,4,9.1,0,24.7
1191,104,4,8.0,1,48.4
1738,340,6,8.0,1,36.8
2122,305,4,5.1,0,15.2
1977,203,6,4.6,0,24.2
2008,117,6,3.7,1,34.3
1095,330,6,1.6,0,26.0
1662,255,8,3.1,0,25.1
2213,169,8,3.2,0,19.1
1036,116,8,5.4,0,33.2
2392,395,6,7.7,0,14.7
1278,255,6,5.3,1,37.0
1216,363,8,1.5,0,25.0
1866,160,4,9.6,0,26.6
1872,193,6,9.5,0,24.1
2296,119,4,8.1,0,21.3
1061,380,4,9.9,0,25.2
1595,303,6,5.9,0,21.8
1728,397,6,9.7,0,20.1
2365,194,4,1.7,0,14.2
1396,265,4,4.3,1,37.1
1698,135,8,3.0,1,38.4
2042,119,8,2.8,0,22.0
1176,119,6,2.3,0,32.1
1395,316,8,6.6,0,23.3
1444,368,8,8.0,0,25.5
2256,341,8,6.2,0,15.6
1075,295,8,2.3,0,29.7
1264,226,4,8.3,0,34.6
1454,247,6,6.7,1,37.5
1717,171,8,4.5,1,36.1
1734,138,4,7.1,1,38.6
2407,138,4,3.3,0,19.7
1850,383,4,4.1,0,19.7
2390,248,8,9.3,0,17.0
1143,348,8,3.6,0,25.7
1884,124,6,5.2,0,24.8
2092,260,8,9.0,0,22.0
2122,249,8,7.4,0,23.0
1395,270,4,1.6,1,35.2
2048,234,6,2.3,0,15.3
1947,267,8,1.1,0,19.5
1890,86,8,6.7,0,25.2
2492,212,4,5.0,0,15.9
2174,314,4,2.2,0,16.5
2167,124,8,9.6,0,25.0
1568,393,6,5.8,0,20.2
2062,328,6,3.2,0,15.0
1108,110,4,5.5,0,27.6
2065,102,4,7.1,0,26.2
2209,239,8,1.7,0,16.1
1934,237,4,3.5,1,35.3
1397,118,8,8.3,0,32.4
2246,161,6,5.1,0,19.2
1633,337,6,5.9,0,23.7
2156,285,8,4.9,1,31.6
2186,156,4,1.4,1,30.7
2238,91,6,2.5,0,23.5
1732,374,4,5.0,0,17.9
1234,303,6,2.9,1,37.3
1657,92,8,1.4,0,27.5
1750,125,8,8.6,0,29.6
1587,234,8,9.8,0,28.3
2032,192,6,8.1,1,34.3
2097,312,4,8.7,1,33.2
1953,96,4,3.2,0,23.9
1491,302,4,9.6,0,24.7
1912,267,6,2.8,0,18.1
2276,242,6,9.6,0,23.6
2253,153,6,10.0,1,33.4
2197,312,6,7.4,0,20.0
2191,303,6,9.8,0,16.6
1169,398,4,6.1,0,25.4
2416,139,6,3.3,0,18.9
1945,301,6,4.9,0,22.2
1794,116,4,6.3,0,25.4
1633,357,6,1.7,0,16.9
2217,275,4,6.6,0,17.6
1028,321,4,9.8,0,33.3
2188,298,8,2.7,0,13.8
2445,271,8,8.1,0,11.3
1338,96,8,9.2,1,45.4
2388,91,8,9.5,1,37.0
2365,272,6,9.6,1,28.0
1499,101,8,5.7,0,31.5
1510,199,4,9.8,1,38.8
2350,289,6,7.8,0,16.4
1216,385,8,2.5,0,24.0
2324,349,4,5.3,0,11.6
2155,271,6,7.5,0,19.4
2093,254,6,3.2,0,20.5
2275,364,8,6.8,0,15.7
2438,283,6,7.0,0,14.2
1444,243,4,2.5,0,27.5
1875,330,6,6.1,0,20.7
2205,306,4,7.9,0,14.0
1166,86,6,5.5,0,35.2
1090,108,8,1.1,1,42.3
1713,112,4,1.1,1,37.4
1038,213,6,4.2,0,32.4
2149,158,6,9.3,0,22.3
2474,137,6,3.1,0,14.4
1172,105,4,6.7,1,48.5
1652,305,4,3.0,0,23.2
1753,364,4,3.9,0,18.3
2243,83,8,8.6,0,26.1
2081,178,8,7.6,0,21.9
1475,118,4,1.9,0,27.8
1455,350,6,4.9,1,34.1
1828,364,8,1.3,0,15.8
1894,236,4,5.3,0,22.4
2384,154,6,7.0,1,29.6
2024,367,8,2.1,1,26.3
1386,209,6,3.6,0,27.3
1347,254,6,4.6,0,29.9
1189,163,6,9.3,0,30.5
1504,101,6,9.9,1,44.9
2214,106,8,1.4,0,21.6
2392,274,8,7.8,1,25.0
2432,315,8,4.3,0,14.2
1823,171,4,4.5,0,25.7
1928,100,8,7.8,0,27.8
1933,382,6,9.3,0,18.7
2140,163,8,9.6,0,24.2
1133,341,6,6.2,0,26.9
1057,226,4,4.2,0,26.4
1684,336,6,8.1,1,34.5
1671,137,6,3.3,0,25.1
1172,94,6,6.1,0,32.1
1814,241,4,4.2,0,26.7
2172,242,8,6.9,0,22.0
1079,399,8,3.2,0,21.5
1885,360,4,2.7,0,17.4
2236,359,6,9.3,1,31.4
1202,91,8,1.9,0,28.2
1763,353,4,5.6,0,19.7
2252,350,8,3.0,0,13.7
2250,287,4,1.4,0,12.0
2464,106,6,1.3,0,18.6
2425,151,8,2.6,1,31.7
1046,139,4,8.8,1,49.8
2256,224,8,3.5,0,17.0
2328,172,8,9.6,0,26.3
2166,388,8,6.2,0,10.7
2438,87,8,4.9,0,21.2
2396,158,4,6.2,0,16.6
2282,106,6,5.7,0,22.0
1655,253,4,7.8,0,23.7
1470,129,4,3.5,0,29.2
1970,278,4,4.2,0,18.8
2035,260,6,9.0,0,19.7
2353,103,8,9.5,0,21.6
1735,395,8,9.0,0,24.2
1783,125,8,4.8,1,38.7
1967,94,6,8.0,0,23.1
1357,232,8,5.3,0,28.2
1971,301,6,5.5,0,18.6
2431,285,8,2.8,1,25.6
1667,352,8,6.3,0,22.6
1372,315,4,2.7,0,25.5
2031,307,6,4.0,0,15.8
2145,88,4,8.7,0,25.2
2371,245,4,2.9,1,26.3
1675,398,4,1.6,0,18.3
1089,293,6,1.6,1,37.7
1697,196,6,9.5,1,38.9
2339,151,8,5.6,1,31.3
2201,143,4,4.7,0,20.8
1539,284,8,8.3,0,28.6
1731,288,4,8.5,0,28.1
1868,151,6,4.0,0,24.5
1040,356,6,7.2,0,27.3
1739,353,6,7.9,0,17.8
1501,399,4,6.9,0,19.9
1958,174,6,2.4,0,21.1
2168,245,4,8.9,1,31.0
2224,111,8,5.9,0,21.1
1928,90,4,3.5,1,39.9
1460,380,8,4.8,0,21.5
1731,296,4,1.3,1,31.7
1751,368,8,2.2,0,16.2
1924,181,6,7.9,0,26.6
1908,346,8,1.0,1,27.6
2276,293,6,4.7,0,14.8
1389,258,6,5.7,1,35.1
1882,167,8,1.5,0,21.8
1255,120,4,9.8,0,32.6
1708,155,4,3.0,0,28.2
1449,125,4,3.7,0,32.3
1009,239,4,3.7,0,27.1
1823,159,4,3.1,0,21.3
1797,389,6,1.0,0,15.3
2265,165,4,7.6,0,19.5
2274,171,6,9.7,1,34.4
1876,227,6,3.0,1,32.3
2028,240,6,7.0,0,21.6
2142,281,8,7.7,0,21.0
2015,321,8,8.6,0,17.4
1373,81,6,4.8,0,33.2
2088,304,8,3.7,1,27.4
1145,368,4,3.9,1,40.8
1223,312,4,7.4,0,30.4
2262,156,6,8.4,0,21.6
1176,195,4,2.6,0,26.8
1852,233,6,4.3,1,31.3
2305,182,6,9.1,0,22.8
1062,273,4,8.3,0,30.3
2240,245,8,9.9,0,22.0
1826,169,4,7.8,0,30.0
1794,253,4,4.5,0,20.2
1688,201,6,6.3,1,34.8
2484,222,6,6.9,0,17.4
1104,185,6,1.7,0,31.6
2122,384,6,5.9,0,13.3
1510,396,8,7.4,0,21.8
1384,202,8,2.5,0,29.1
1404,88,8,8.0,0,29.1
1822,341,6,6.3,0,20.1
1517,152,6,9.6,0,29.0
1475,302,6,1.4,0,22.1
1708,120,8,3.4,0,27.4
1770,283,6,6.4,1,34.5
2460,343,4,3.7,0,9.9
2046,257,4,7.4,0,19.5
1996,397,6,7.8,0,19.9
1676,163,4,1.9,0,25.0
1713,397,4,5.6,0,20.5
2481,190,8,5.6,0,17.8
1082,330,6,4.3,0,28.1
2168,86,6,9.4,0,24.6
2108,163,8,8.4,0,21.7
2101,287,4,7.3,1,32.5
1456,393,4,7.4,1,36.6
1000,101,6,5.2,0,32.7
1050,82,4,9.3,0,35.5
1684,206,8,7.3,1,37.3
1716,376,8,7.6,1,35.6
2469,267,6,8.8,0,17.8
1448,93,8,3.5,0,26.8
1880,91,8,8.3,0,27.4
1487,166,6,2.8,0,26.0
1033,91,8,4.1,0,31.6
2371,104,8,4.0,0,20.0
1094,380,8,9.8,0,27.0
2095,322,4,8.7,0,18.0
1153,201,6,7.3,0,30.3
1249,226,6,7.5,0,32.4
1673,134,6,6.1,0,26.6
1437,317,4,9.5,0,26.0
1117,252,4,5.5,0,28.9
1770,300,6,4.4,1,31.5
2329,198,4,2.5,0,17.2
1267,388,6,8.1,0,24.9
2077,262,4,7.6,0,20.3
1235,367,8,4.5,0,22.2
