Speed_kmh,Fuel_Consumed
130.3,9.16
135.0,9.18
134.8,8.93
50.9,8.53
99.3,6.83
46.9,8.93
105.9,6.85
93.0,6.23
146.5,10.39
82.1,6.02
54.0,8.88
57.2,7.4
131.4,8.45
114.2,6.97
52.1,8.72
50.1,8.45
124.1,8.51
48.7,8.44
138.6,9.69
124.7,7.74
49.8,9.46
50.2,8.09
158.4,12.71
84.9,6.79
84.5,6.71
137.5,9.36
153.7,11.72
158.3,12.59
130.4,8.56
85.2,6.92
50.0,9.46
133.3,8.71
107.0,6.33
90.9,6.47
148.8,12.02
53.3,7.93
99.1,7.26
41.4,10.25
96.2,6.33
46.8,9.16
54.3,8.81
54.1,8.02
117.9,7.43
129.5,8.3
110.0,6.61
155.5,11.81
85.0,6.04
74.3,6.83
144.2,10.02
66.8,7.29
155.6,11.47
41.5,9.7
156.4,12.56
45.2,8.31
146.9,10.86
103.3,7.22
159.2,12.23
48.9,9.37
106.5,7.02
156.3,11.94
102.8,6.69
115.5,7.57
123.5,7.99
94.5,6.74
115.3,6.96
110.1,7.09
148.1,10.33
45.5,9.04
73.7,6.48
154.0,11.54
146.8,11.19
94.7,6.96
114.4,7.52
73.3,6.43
62.6,7.35
95.6,7.03
82.4,6.63
110.0,7.95
49.3,8.81
156.9,12.4
158.3,12.45
123.8,8.04
104.3,6.71
77.1,7.0
137.7,9.84
122.2,7.53
59.5,7.18
149.3,10.34
138.7,9.79
154.0,11.38
127.1,7.43
113.6,7.38
90.2,7.5
151.9,11.48
143.9,10.62
45.4,9.12
43.2,9.31
85.2,6.9
137.3,9.29
158.5,12.7
58.1,7.96
111.3,6.82
85.7,6.92
156.4,12.16
141.1,9.59
140.6,10.04
96.2,6.19
89.8,6.51
72.8,6.88
46.8,9.36
143.8,10.45
137.5,9.43
160.0,13.19
159.6,13.35
106.7,7.08
132.3,8.83
153.4,11.2
142.0,9.58
69.7,6.91
94.1,6.28
55.5,7.97
154.5,11.93
112.7,7.38
67.4,7.13
120.6,7.91
114.2,7.29
83.0,5.77
53.6,7.84
120.6,7.66
102.4,6.22
132.7,9.11
102.4,7.31
142.3,10.54
106.2,6.76
107.3,7.49
145.2,10.52
88.4,6.37
56.1,7.75
43.5,9.2
130.6,8.49
114.4,7.34
124.5,8.11
65.6,7.28
56.4,8.15
41.7,10.0
82.1,6.96
110.8,6.47
87.1,5.49
92.5,6.88
148.5,10.4
81.8,6.5
101.7,6.21
134.0,8.3
87.6,6.72
114.7,7.59
143.5,9.99
153.9,10.78
57.6,7.64
151.2,11.52
99.1,6.02
71.0,7.04
95.1,6.53
157.6,12.67
99.1,6.66
79.5,6.26
116.0,7.86
68.8,7.02
49.1,8.66
55.5,7.68
55.4,7.88
58.2,7.46
56.7,7.88
116.9,8.13
61.8,6.98
81.5,5.95
147.6,11.4
96.9,6.48
120.1,7.41
60.7,8.03
63.1,7.2
44.9,9.87
60.3,7.92
73.4,6.66
61.2,8.44
50.6,8.27
54.5,8.44
95.3,6.66
64.8,7.85
83.7,7.18
100.4,6.65
122.8,7.6
44.7,9.35
135.9,8.97
115.3,8.14
49.8,8.65
144.8,10.26
150.5,11.33
47.3,8.33
73.2,6.48
136.7,9.82
129.8,8.3
62.1,7.09
65.1,7.52
84.5,7.01
98.1,6.87
114.2,7.66
84.3,6.24
95.5,5.97
129.7,9.15
44.4,9.07
70.3,6.9
125.6,8.68
147.4,11.01
101.4,6.85
103.9,7.62
52.9,8.04
93.7,6.89
103.9,6.77
69.1,7.18
72.3,7.52
85.3,6.73
42.4,9.66
78.6,7.1
65.4,7.14
79.3,6.31
54.4,7.73
146.9,9.92
111.2,7.91
121.5,7.35
134.7,9.01
99.8,6.51
50.4,8.66
104.5,7.1
110.4,7.39
129.5,8.29
91.8,6.44
55.3,8.18
74.1,6.73
83.6,7.2
117.5,7.68
108.5,7.24
82.7,6.83
158.4,13.05
112.7,7.24
68.5,6.58
52.2,8.52
58.3,7.54
69.5,6.83
59.3,7.96
62.4,7.99
74.2,6.83
60.8,7.73
147.6,11.5
49.6,8.72
102.9,7.76
89.2,6.73
157.9,11.79
53.4,8.54
87.7,6.66
156.3,12.74
143.9,10.54
138.0,9.45
70.9,6.48
60.5,7.55
120.2,7.35
151.5,11.19
106.8,7.1
108.6,7.62
73.6,7.01
132.3,8.35
62.4,7.66
78.8,7.14
91.1,6.26
100.9,6.6
69.1,7.07
53.8,7.89
113.3,7.46
74.6,6.76
109.7,7.17
58.5,7.43
97.7,6.4
103.9,7.04
46.2,8.84
80.4,7.31
56.1,7.83
47.6,8.93
158.8,13.03
78.7,6.1
137.2,8.69
70.6,6.38
121.8,8.32
131.2,8.49
111.5,8.12
96.6,6.33
89.4,6.57
81.9,7.2
151.5,12.23
139.7,10.53
155.8,12.61
54.9,8.51
127.7,8.59
152.6,11.91
61.7,7.32
48.0,8.47
128.9,8.47
108.9,6.9
141.0,9.7
56.8,8.21
135.4,9.57
64.2,7.4
59.6,8.29
59.7,7.24
137.7,9.39
119.8,7.37
102.8,5.97
83.1,6.53
145.3,10.42
87.1,7.12
138.0,9.75
92.7,6.1
85.2,7.27
95.5,7.03
76.2,6.98
129.7,8.46
100.3,6.25
67.9,6.99
147.9,11.3
86.1,7.27
105.2,7.42
148.8,10.8
114.9,6.86
54.0,8.24
152.8,10.92
115.3,7.46
80.2,6.57
56.7,7.75
135.3,8.53
114.4,7.48
104.0,6.54
147.3,10.3
134.6,7.94
58.2,7.8
77.4,7.42
69.8,7.69
129.3,8.32
44.0,9.01
108.4,7.13
131.5,8.34
145.2,10.58
81.0,6.91
138.6,10.06
53.3,8.21
141.6,9.88
55.3,7.71
87.7,6.18
135.7,9.12
58.0,7.98
67.5,7.52
126.7,7.93
126.4,8.82
116.9,7.33
123.3,7.93
105.1,6.5
70.2,6.04
81.5,6.95
61.8,7.83
149.0,10.91
110.0,7.05
88.1,6.71
95.4,5.91
153.7,11.56
58.4,8.12
110.3,6.54
100.7,6.77
113.4,6.67
42.2,9.66
144.7,10.37
151.9,10.83
107.8,7.38
123.6,7.67
150.7,10.97
124.9,8.16
58.3,8.27
109.2,6.57
112.8,7.2
90.9,6.67
128.4,8.69
152.1,11.59
151.1,11.2
94.1,6.19
53.6,8.26
158.2,12.11
140.7,8.67
55.0,8.27
150.5,11.62
144.4,9.4
102.3,6.29
111.0,7.32
87.9,7.33
46.6,8.96
80.2,6.33
136.3,9.22
40.6,10.23
80.0,6.37
87.8,6.19
104.5,6.58
150.4,10.86
81.6,6.64
81.6,7.24
128.5,8.56
94.3,6.42
67.0,7.07
94.3,5.9
56.9,8.28
61.2,7.55
99.8,6.55
90.3,7.78
149.8,11.27
83.5,6.25
109.7,6.83
115.9,7.83
41.6,9.59
119.6,7.07
61.4,7.93
155.3,11.78
57.8,8.59
89.8,6.93
50.2,8.38
159.6,13.31
100.3,6.66
111.4,7.44
48.0,8.98
130.0,8.24
65.2,7.04
147.8,11.25
64.6,7.2
62.9,7.29
44.4,8.82
96.6,6.73
107.8,7.74
47.9,8.38
133.1,8.92
94.4,7.09
102.9,6.69
92.9,6.69
88.1,6.08
107.2,7.05
58.6,7.7
61.8,7.93
143.4,10.68
153.5,12.78
84.8,6.77
72.5,7.03
117.3,7.55
89.0,6.36
43.0,9.5
58.7,7.65
125.9,8.24
119.1,8.13
43.3,8.94
66.6,7.67
67.7,7.67
120.6,7.67
42.4,8.6
52.5,8.09
136.0,9.77
61.4,7.55
118.3,7.14
68.6,6.89
51.9,8.72
69.2,7.28
126.7,8.15
142.7,9.96
139.6,9.54
87.7,6.14
120.2,8.33
64.6,7.21
75.2,7.27
147.6,11.42
41.6,9.95
50.3,8.38
64.9,7.48
43.2,9.34
61.8,7.17
110.0,7.15
90.6,6.03
147.1,11.22
138.1,9.32
81.0,6.69
71.1,7.08
85.6,6.42
110.8,7.3
72.2,6.72
114.9,7.65
89.1,5.96
106.2,6.89
92.3,7.28
75.3,6.38
153.8,11.52
131.6,8.96
56.8,8.0
144.2,10.46
98.5,6.79
147.3,11.03
136.0,9.69
91.0,6.67
42.7,9.31
72.2,7.18
105.0,7.55
116.0,7.33
70.9,6.58
56.7,8.38
140.2,9.73
158.1,11.66
103.1,7.06
60.6,7.41
72.7,6.85
42.2,9.6
149.7,11.21
54.1,8.46
109.2,6.8
72.9,7.09
106.5,6.75
118.2,7.83
139.6,9.94
64.8,6.95
41.3,10.02
56.4,7.75
148.0,11.2
144.9,10.56
111.7,7.85
112.1,7.04
119.8,7.52
61.0,7.58
149.7,11.02
90.3,6.82
86.0,5.87
102.3,6.27
45.6,8.63
60.0,8.05
128.6,9.12
49.9,8.54
112.4,7.08
69.4,7.08
86.7,6.98
74.6,6.44
82.7,6.66
126.3,8.6
75.7,6.97
108.0,7.0
97.1,6.97
119.6,6.56
152.4,11.84
127.9,8.11
65.8,6.53
43.7,9.49
71.5,7.5
111.4,7.04
46.2,9.38
99.6,7.26
111.6,7.63
80.1,7.28
132.5,9.15
52.8,8.33
49.0,8.04
127.4,8.22
99.5,6.28
122.6,8.75
92.2,6.44
69.6,7.09
138.3,9.75
135.9,9.26
123.4,8.63
72.7,6.64
110.8,7.14
83.3,6.26
51.0,7.95
150.1,10.95
56.4,7.95
154.0,11.66
93.5,6.24
